n_ID	n_HPMAX	n_RECOVER_HP	n_STAMINAMAX	n_RECOVER_STAMINA	n_SPEED_RUN	n_STRENGH	n_CONSITUTION	n_AGILITY	n_PERCEPTION	n_INTELLECT	n_DAMMIN_PHYSICS	n_DAMMIN_MAGIC	n_DAMPLUS_PHYSICS	n_DAMPLUS_MAGIC	n_AC_PHYSICS	n_AC_MAGIC	n_ABSORB_PHYSICS	n_ABSORB_MAGIC	n_PENETRATE_PHYSICS	n_PENETRATE_MAGIC	f_ANTI_STUN	f_STUN	f_ANTI_CURSE	f_CURSE	f_HITRATE	f_DODGE	f_POWERHIT	f_ANTI_POWERHIT	f_BYPASS	f_OVERHIT	f_MULTIPLY_POWERDAM	f_ABSORB_POWERDAM	f_ABSORB_SHIELD	f_BLOCKRATE	f_MUL_DAMAGE
237	206714	10335	100	5	600	3132	3132	3132	3132	3132	15660	15660	10962	10962	108222	108222	3617	3617	108222	108222	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	8785.0	100.0	100.0
238	208456	10422	100	5	600	3158	3158	3158	3158	3158	15792	15792	11054	11054	110733	110733	3647	3647	110733	110733	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	8859.0	100.0	100.0
239	210205	10510	100	5	600	3184	3184	3184	3184	3184	15924	15924	11147	11147	113291	113291	3678	3678	113291	113291	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	8933.0	100.0	100.0
240	211961	10598	100	5	600	3211	3211	3211	3211	3211	16057	16057	11240	11240	115896	115896	3709	3709	115896	115896	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	9008.0	100.0	100.0
241	213725	10686	100	5	600	3238	3238	3238	3238	3238	16191	16191	11333	11333	118550	118550	3739	3739	118550	118550	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	9082.0	100.0	100.0
242	215496	10774	100	5	600	3265	3265	3265	3265	3265	16325	16325	11427	11427	121253	121253	3770	3770	121253	121253	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	9158.0	100.0	100.0
243	217274	10863	100	5	600	3292	3292	3292	3292	3292	16460	16460	11522	11522	124006	124006	3802	3802	124006	124006	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	9234.0	100.0	100.0
244	219059	10952	100	5	600	3319	3319	3319	3319	3319	16595	16595	11616	11616	126808	126808	3833	3833	126808	126808	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	9309.0	100.0	100.0
245	220852	11042	100	5	600	3346	3346	3346	3346	3346	16731	16731	11711	11711	129661	129661	3864	3864	129661	129661	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	9385.0	100.0	100.0
246	222653	11132	100	5	600	3373	3373	3373	3373	3373	16867	16867	11807	11807	132565	132565	3896	3896	132565	132565	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	9462.0	100.0	100.0
247	224460	11223	100	5	600	3400	3400	3400	3400	3400	17004	17004	11903	11903	135522	135522	3927	3927	135522	135522	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	9539.0	100.0	100.0
248	226275	11313	100	5	600	3428	3428	3428	3428	3428	17142	17142	11999	11999	138530	138530	3959	3959	138530	138530	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	9616.0	100.0	100.0
249	228097	11404	100	5	600	3456	3456	3456	3456	3456	17280	17280	12096	12096	141592	141592	3991	3991	141592	141592	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	9694.0	100.0	100.0
250	229926	11496	100	5	600	3483	3483	3483	3483	3483	17418	17418	12193	12193	144707	144707	4023	4023	144707	144707	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	9771.0	100.0	100.0
251	231763	11588	100	5	600	3511	3511	3511	3511	3511	17557	17557	12290	12290	147876	147876	4055	4055	147876	147876	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	9849.0	100.0	100.0
252	233607	11680	100	5	600	3539	3539	3539	3539	3539	17697	17697	12388	12388	151099	151099	4088	4088	151099	151099	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	9928.0	100.0	100.0
253	235459	11772	100	5	600	3567	3567	3567	3567	3567	17837	17837	12486	12486	154378	154378	4120	4120	154378	154378	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	10006.0	100.0	100.0
254	237317	11865	100	5	600	3595	3595	3595	3595	3595	17978	17978	12585	12585	157713	157713	4153	4153	157713	157713	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	10085.0	100.0	100.0
255	239184	11959	100	5	600	3624	3624	3624	3624	3624	18120	18120	12684	12684	161103	161103	4185	4185	161103	161103	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	10165.0	100.0	100.0
9999	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
