n_ID	s_SKILL_TITLE	s_DESCRIPTION	s_TIP	s_DETAIL	s_CACULATE
8246	Solar Strom	จะต้องใส่ไม้เท้า\nประเภท: พลังความร้อน, ระเบิด\n\nเรียกพายุไฟไปยังเป้าหมาย ทำให้เป้าหมายสูงสุด 8 คนในระยะ 7 เมตร เกิดความเสียหายจากโจมตีเวทย์และโจมตีหนัก 100% 10 ครั้ง	ประเภท: พลังความร้อน, ระเบิด\n\nเรียกพายุไฟไปยังเป้าหมาย ทำให้เป้าหมายสูงสุด 8 คนในระยะ 7 เมตร เกิดความเสียหายจากโจมตีเวทย์และโจมตีหนัก 100% 10 ครั้ง\n		
8247	Sunshine Cure	จะต้องใส่ไม้เท้า\nประเภท: ฟื้นฟู\n\nทำให้เป้าหมายได้รับการฟื้นฟูจากพลังเวทย์ 500%	ประเภท: ฟื้นฟู\n\nทำให้เป้าหมายได้รับการฟื้นฟูจากพลังเวทย์ 500%\n		
8250	附身詛咒	必須裝備巫毒娃娃\n回復精力值：10\n類型：死靈\n\n讓巫毒娃娃附著在目標身上，使目標防禦力$ADD_AC_PHYSICS，並從目標身上不斷的吸取精力。精力恢復速度+3，並且所受到的傷害的20%會轉移至目標身上。\n\n對已經被附身的目標使用技能可以回收詛咒。\n附身目標死亡時，技能冷卻時間會重置。	必須裝備巫毒娃娃\n回復精力值：10\n類型：死靈\n\n讓巫毒娃娃附著在目標身上，使目標防禦力$ADD_AC_PHYSICS，並從目標身上不斷的吸取精力。精力恢復速度+3，並且所受到的傷害的20%會轉移至目標身上。\n\n對已經被附身的目標使用技能可以回收詛咒。\n附身目標死亡時，技能冷卻時間會重置。		ADD_AC_PHYSICS(1)(1)
8251	邪靈彈	必須裝備巫毒娃娃\n類型：死靈\n\n呼喚靈體攻擊目標，持續使用造成 110%、150%、120%魔法傷害。\n\n二階：附帶緩速效果，持續10秒\n三階：範圍傷害，附帶增傷 5%，持續10秒	必須裝備巫毒娃娃\n類型：死靈\n\n呼喚靈體攻擊目標，持續使用造成 110%、150%、120%魔法傷害。\n\n二階：附帶緩速效果，持續10秒\n三階：範圍傷害，附帶增傷 5%，持續10秒		ADD_DAMMIMAGIC(1)(1.1)
8252	詛咒控制	必須裝備巫毒娃娃\n類型：死靈\n\n藉由詛咒的力量，讓巫毒娃娃承受的傷害轉移到目標身上，造成3次 250%魔法傷害。並有機率造成擊倒。	必須裝備巫毒娃娃\n類型：死靈\n\n藉由詛咒的力量，讓巫毒娃娃承受的傷害轉移到目標身上，造成3次 250%魔法傷害。並有機率造成擊倒。		ADD_DAMMIMAGIC(1)(2.5)
8253	怨靈之牆	必須裝備巫毒娃娃\n類型：死靈\n\n在指定地點放下3道火柱，火柱有機率擊退觸碰的敵人，並造成 20%魔法傷害。施放怨靈之牆時會造成自己靈魂衰竭。\n\n靈魂衰竭：使用怨靈之牆時必需額外消耗集氣。	必須裝備巫毒娃娃\n類型：死靈\n\n在指定地點放下3道火柱，火柱有機率擊退觸碰的敵人，並造成 20%魔法傷害。施放怨靈之牆時會造成自己靈魂衰竭。\n\n靈魂衰竭：使用怨靈之牆時必需額外消耗集氣。		ADD_DAMMIMAGIC(1)(0.2)
8254	黑暗新星	必須裝備巫毒娃娃\n類型：死靈\n\n操控娃娃放出暗靈衝擊波，震開周圍敵對目標，並造成 100%魔法傷害\n\n附身：目標若已被附身，則黑暗新星會產生在目標身上。	必須裝備巫毒娃娃\n類型：死靈\n\n操控娃娃放出暗靈衝擊波，震開周圍敵對目標，並造成 100%魔法傷害\n\n附身：目標若已被附身，則黑暗新星會產生在目標身上。		ADD_DAMMIMAGIC(1)(1)
8255	怨念釋放	必須裝備巫毒娃娃\n類型：死靈、劈砍\n\n釋放所有集氣一口氣對詛咒目標造成重大傷害。每層集氣造成 300%魔法傷害，並有機率造成擊倒。	必須裝備巫毒娃娃\n類型：死靈、劈砍\n\n釋放所有集氣一口氣對詛咒目標造成重大傷害。每層集氣造成 300%魔法傷害，並有機率造成擊倒。		ADD_DAMMIMAGIC(1)(3)
8256	生命漩渦	必須裝備巫毒娃娃\n類型：死靈\n\n呼喚血的渦流持續攻擊周圍敵人造成 9次 140% 物理與魔法重擊傷害。造成的傷害50%會轉換為自己的生命。使用中移動速度 - 420、防禦力$ADD_AC_PHYSICS\n\n被攻擊到的敵人會進入嘲諷狀態，嘲諷等級+10。	必須裝備巫毒娃娃\n類型：死靈\n\n呼喚血的渦流持續攻擊周圍敵人造成 9次 140% 物理與魔法重擊傷害。造成的傷害50%會轉換為自己的生命。使用中移動速度 - 420、防禦力$ADD_AC_PHYSICS\n\n被攻擊到的敵人會進入嘲諷狀態，嘲諷等級+10。		ADD_DAMMIMAGIC(1)(1.4);ADD_AC_PHYSICS(1)(1)
8257	闇魂結晶	必須裝備巫毒娃娃\n類型：死靈\n\n不斷的凝聚死靈之力，對目標周圍10名敵對目標造成1200%魔法傷害。並有機率造成擊飛。	必須裝備巫毒娃娃\n類型：死靈\n\n不斷的凝聚死靈之力，對目標周圍10名敵對目標造成1200%魔法傷害。並有機率造成擊飛。		ADD_DAMMIMAGIC(1)(12)
8540	Down Items		ทิ้งไอเทมที่มี		
8572	Tackle		พุ้งเข้าไปเตะให้กระเด็น!		
8573	Long Pass		เตะลูกบอลเต็มแรง!		
8574	Short Pass		เตะลูกบอลเบาๆ!		
8578	Launch		ยิงระเบิด!		
8581	C4 Bomb		ปาระเบิด!		
8582	Machine Gun		ลองชิมระเบิดของข้าหน่อยเป็นไง!		
8583	Injection		ยังพลัง! จับคีย์บอร์ดของท่านให้มั่น!		
8584	Shoot'em up				
8585	Anti Aircraft gun				
8766	Short Pass				
8767	High Pass				
8768	Powerful shot				
8769	Sprint		เพิ่มความเร็วในการวิ่ง 25% เป็นเวลา 5 วินาที		
9800	Beckon				
9801	Departure				
9802	Greeting				
9803	Happy				
9804	Grieved				
9805	Angry				
9806	Success				
9807	Failure				
9808	Shy				
9809	Lonely				
9810	Dance1				
9811	Dance2				
9812	Dance3				
9813	Dance4				
9814	Dance5				
9815	Dance6				
9816					
9817					
9818					
9819					
9820					
9821					
9822					
9823					
9824					
9825					
9826					
9827					
9828					
9829					
40000	Gladiator Basic Training	การฝึกขั้นพื้นฐานของ Gladiator ทำให้โจมตีกายภาพ +$ADD_DAMMIPHYSICS, กายภาพทะลุเกราะ+$ADD_PENETRATE_PHYSICS, ค่าหลบ+5%, ค่ามึนงง+5% และทำการหลบหลีก จะฟื้นฟูพลังชีวิตสูงสุด 5%\nอาชีพรองไม่สามารถใช้สกิลนี้ได้	การฝึกขั้นพื้นฐานของ Gladiator ทำให้โจมตีกายภาพ +$ADD_DAMMIPHYSICS, กายภาพทะลุเกราะ+$ADD_PENETRATE_PHYSICS, ค่าหลบ+5%, ค่ามึนงง+5% และทำการหลบหลีก จะฟื้นฟูพลังชีวิตสูงสุด 5%\nอาชีพรองไม่สามารถใช้สกิลนี้ได้		ADD_DAMMIPHYSICS(1)(1);ADD_PENETRATE_PHYSICS(1)(1)
40001	Jixi Killing Sword	จะต้องใส่ดาบที่มือซ้ายและขวา\nประเภท: โจมตีทะลุ, ฟัน\n\nโจมตีศัตรูเป้าหมายเดี่ยวในระยะใกล้ด้วยอาวุธมือซ้ายและขวา ทำให้เกิดความเสียหายจากกายภาพ $ADD_DAMMIPHYSICS + 125% และมีโอกาสทำให้คู่ต่อสู้หยุดโจมตี\n\nโจมตีให้ล้มเลงทำให้ศัตรูได้รับความเสียหาย 2 เท่า	ประเภท: โจมตีทะลุ, ฟัน\n\nโจมตีศัตรูเป้าหมายเดี่ยวในระยะใกล้ด้วยอาวุธมือซ้ายและขวา ทำให้เกิดความเสียหายจากกายภาพ $ADD_DAMMIPHYSICS + 125% และมีโอกาสทำให้คู่ต่อสู้หยุดโจมตี\n\nโจมตีให้ล้มเลงทำให้ศัตรูได้รับความเสียหาย 2 เท่า		ADD_DAMMIPHYSICS(1)(1.25)
40002	Chain Attack	จะต้องใส่ดาบที่มือซ้ายและขวา\nฟื้นฟูพลังเวทย์: 4, 3, 3, 8\nประเภท: ฟัน\n\nโจมตีเป้าหมายเดี่ยวต่อเนื่อง ทำให้เกิดความเสียหายจากกายภาพ $ADD_DAMMIPHYSICS + 100%, 50%, 60%, 150% 	ประเภท: ฟัน\n\nโจมตีเป้าหมายเดี่ยวต่อเนื่อง ทำให้เกิดความเสียหายจากกายภาพ $ADD_DAMMIPHYSICS + 100%, 50%, 60%, 150% 		ADD_DAMMIPHYSICS(1)(1)
40003	Disability	จะต้องใส่ดาบที่มือซ้ายและขวา\nประเภท: ฟัน\n\nโจมตีเป้าหมายทำให้เกิดความเสียหายจากกายภาพ $ADD_DAMMIPHYSICS + 140% และลดพลังโจมตี อัตราแม่นยำ 33% ของศัตรู เป็นเวลา 6 วินาที	ประเภท: ฟัน\n\nโจมตีเป้าหมายทำให้เกิดความเสียหายจากกายภาพ $ADD_DAMMIPHYSICS + 140% และลดพลังโจมตี อัตราแม่นยำ 33% ของศัตรู เป็นเวลา 6 วินาที		ADD_DAMMIPHYSICS(1)(1.4)
40004	Violent Puncture	จะต้องใส่ดาบที่มือซ้ายและขวา\nใช้ Soul Gather: 1 ขั้น\nประเภท: โจมตีทะลุ, ฟัน\n\nพุ่งโจมตีเป้าหมายเป็นวงกว้าง ทำให้เกิดความเสียหายจาก $ADD_DAMMIPHYSICS โจมตีกายภาพ + 70% เมื่อใช้ต่อเนื่องจะโจมตีไปยังเป้าหมายข้างหน้าทำให้เกิดความเสียหายหลายครั้ง ความแรงจะเพิ่มตามจำนวนการใช้ต่อเนื่อง และเมื่อจบการโจมตีจะมีการโจมตีส่งท้าย\n\nขั้นที่ 1: พุ่งโจมตี 4 ครั้ง ทำให้เกิดความเสียหายจากกายภาพ 20% สกิลส่งท้ายทำให้เกิดความเสียหายจากกายภาพ 100%\n\nขั้นที่ 2: พุ่งโจมตี 4 ครั้ง ทำให้เกิดความเสียหายจากกายภาพ 40%สกิลส่งท้ายทำให้เปิดความเสียหายจากกายภาพ 170% และโจมตีให้ศัตรูล้มลง\n\nขั้นที่ 3: พุ่งโจมตี 4 ครั้ง ทำให้เกิดความเสียหายจากกายภาพ 60%สกิลส่งท้ายทำให้เปิดความเสียหายจากกายภาพ 300% และโจมตีให้ศัตรูกระเด็น	ประเภท: โจมตีทะลุ, ฟัน\n\nพุ่งโจมตีเป้าหมายเป็นวงกว้าง ทำให้เกิดความเสียหายจาก $ADD_DAMMIPHYSICS โจมตีกายภาพ + 70% เมื่อใช้ต่อเนื่องจะโจมตีไปยังเป้าหมายข้างหน้าทำให้เกิดความเสียหายหลายครั้ง ความแรงจะเพิ่มตามจำนวนการใช้ต่อเนื่อง และเมื่อจบการโจมตีจะมีการโจมตีส่งท้าย\n\nขั้นที่ 1: พุ่งโจมตี 4 ครั้ง ทำให้เกิดความเสียหายจากกายภาพ 20% สกิลส่งท้ายทำให้เกิดความเสียหายจากกายภาพ 100%\n\nขั้นที่ 2: พุ่งโจมตี 4 ครั้ง ทำให้เกิดความเสียหายจากกายภาพ 40%สกิลส่งท้ายทำให้เปิดความเสียหายจากกายภาพ 170% และโจมตีให้ศัตรูล้มลง\n\nขั้นที่ 3: พุ่งโจมตี 4 ครั้ง ทำให้เกิดความเสียหายจากกายภาพ 60%สกิลส่งท้ายทำให้เปิดความเสียหายจากกายภาพ 300% และโจมตีให้ศัตรูกระเด็น		ADD_DAMMIPHYSICS(1)(0.7)
40140	Violent Puncture	จะต้องใส่ดาบที่มือซ้ายและขวา\nใช้ Soul Gather: 1 ขั้น\nประเภท: โจมตีทะลุ, ฟัน\n\nพุ่งโจมตีเป้าหมายเป็นวงกว้าง ทำให้เกิดความเสียหายจาก $ADD_DAMMIPHYSICS โจมตีกายภาพ + 70% เมื่อใช้ต่อเนื่องจะโจมตีไปยังเป้าหมายข้างหน้าทำให้เกิดความเสียหายหลายครั้ง ความแรงจะเพิ่มตามจำนวนการใช้ต่อเนื่อง และเมื่อจบการโจมตีจะมีการโจมตีส่งท้าย\n\nขั้นที่ 1: พุ่งโจมตี 4 ครั้ง ทำให้เกิดความเสียหายจากกายภาพ 20% สกิลส่งท้ายทำให้เกิดความเสียหายจากกายภาพ 100%\n\nขั้นที่ 2: พุ่งโจมตี 4 ครั้ง ทำให้เกิดความเสียหายจากกายภาพ 40%สกิลส่งท้ายทำให้เปิดความเสียหายจากกายภาพ 170% และโจมตีให้ศัตรูล้มลง\n\nขั้นที่ 3: พุ่งโจมตี 4 ครั้ง ทำให้เกิดความเสียหายจากกายภาพ 60%สกิลส่งท้ายทำให้เปิดความเสียหายจากกายภาพ 300% และโจมตีให้ศัตรูกระเด็น	ประเภท: โจมตีทะลุ, ฟัน\n\nพุ่งโจมตีเป้าหมายเป็นวงกว้าง ทำให้เกิดความเสียหายจาก $ADD_DAMMIPHYSICS โจมตีกายภาพ + 70% เมื่อใช้ต่อเนื่องจะโจมตีไปยังเป้าหมายข้างหน้าทำให้เกิดความเสียหายหลายครั้ง ความแรงจะเพิ่มตามจำนวนการใช้ต่อเนื่อง และเมื่อจบการโจมตีจะมีการโจมตีส่งท้าย\n\nขั้นที่ 1: พุ่งโจมตี 4 ครั้ง ทำให้เกิดความเสียหายจากกายภาพ 20% สกิลส่งท้ายทำให้เกิดความเสียหายจากกายภาพ 100%\n\nขั้นที่ 2: พุ่งโจมตี 4 ครั้ง ทำให้เกิดความเสียหายจากกายภาพ 40%สกิลส่งท้ายทำให้เปิดความเสียหายจากกายภาพ 170% และโจมตีให้ศัตรูล้มลง\n\nขั้นที่ 3: พุ่งโจมตี 4 ครั้ง ทำให้เกิดความเสียหายจากกายภาพ 60%สกิลส่งท้ายทำให้เปิดความเสียหายจากกายภาพ 300% และโจมตีให้ศัตรูกระเด็น		ADD_DAMMIPHYSICS(1)(0.7)
40141	Violent Puncture	จะต้องใส่ดาบที่มือซ้ายและขวา\nใช้ Soul Gather: 1 ขั้น\nประเภท: โจมตีทะลุ, ฟัน\n\nพุ่งโจมตีเป้าหมายเป็นวงกว้าง ทำให้เกิดความเสียหายจาก $ADD_DAMMIPHYSICS โจมตีกายภาพ + 70% เมื่อใช้ต่อเนื่องจะโจมตีไปยังเป้าหมายข้างหน้าทำให้เกิดความเสียหายหลายครั้ง ความแรงจะเพิ่มตามจำนวนการใช้ต่อเนื่อง และเมื่อจบการโจมตีจะมีการโจมตีส่งท้าย\n\nขั้นที่ 1: พุ่งโจมตี 4 ครั้ง ทำให้เกิดความเสียหายจากกายภาพ 20% สกิลส่งท้ายทำให้เกิดความเสียหายจากกายภาพ 100%\n\nขั้นที่ 2: พุ่งโจมตี 4 ครั้ง ทำให้เกิดความเสียหายจากกายภาพ 40%สกิลส่งท้ายทำให้เปิดความเสียหายจากกายภาพ 170% และโจมตีให้ศัตรูล้มลง\n\nขั้นที่ 3: พุ่งโจมตี 4 ครั้ง ทำให้เกิดความเสียหายจากกายภาพ 60%สกิลส่งท้ายทำให้เปิดความเสียหายจากกายภาพ 300% และโจมตีให้ศัตรูกระเด็น	ประเภท: โจมตีทะลุ, ฟัน\n\nพุ่งโจมตีเป้าหมายเป็นวงกว้าง ทำให้เกิดความเสียหายจาก $ADD_DAMMIPHYSICS โจมตีกายภาพ + 70% เมื่อใช้ต่อเนื่องจะโจมตีไปยังเป้าหมายข้างหน้าทำให้เกิดความเสียหายหลายครั้ง ความแรงจะเพิ่มตามจำนวนการใช้ต่อเนื่อง และเมื่อจบการโจมตีจะมีการโจมตีส่งท้าย\n\nขั้นที่ 1: พุ่งโจมตี 4 ครั้ง ทำให้เกิดความเสียหายจากกายภาพ 20% สกิลส่งท้ายทำให้เกิดความเสียหายจากกายภาพ 100%\n\nขั้นที่ 2: พุ่งโจมตี 4 ครั้ง ทำให้เกิดความเสียหายจากกายภาพ 40%สกิลส่งท้ายทำให้เปิดความเสียหายจากกายภาพ 170% และโจมตีให้ศัตรูล้มลง\n\nขั้นที่ 3: พุ่งโจมตี 4 ครั้ง ทำให้เกิดความเสียหายจากกายภาพ 60%สกิลส่งท้ายทำให้เปิดความเสียหายจากกายภาพ 300% และโจมตีให้ศัตรูกระเด็น		ADD_DAMMIPHYSICS(1)(0.7)
40142	Violent Puncture	จะต้องใส่ดาบที่มือซ้ายและขวา\nใช้ Soul Gather: 1 ขั้น\nประเภท: โจมตีทะลุ, ฟัน\n\nพุ่งโจมตีเป้าหมายเป็นวงกว้าง ทำให้เกิดความเสียหายจาก $ADD_DAMMIPHYSICS โจมตีกายภาพ + 70% เมื่อใช้ต่อเนื่องจะโจมตีไปยังเป้าหมายข้างหน้าทำให้เกิดความเสียหายหลายครั้ง ความแรงจะเพิ่มตามจำนวนการใช้ต่อเนื่อง และเมื่อจบการโจมตีจะมีการโจมตีส่งท้าย\n\nขั้นที่ 1: พุ่งโจมตี 4 ครั้ง ทำให้เกิดความเสียหายจากกายภาพ 20% สกิลส่งท้ายทำให้เกิดความเสียหายจากกายภาพ 100%\n\nขั้นที่ 2: พุ่งโจมตี 4 ครั้ง ทำให้เกิดความเสียหายจากกายภาพ 40%สกิลส่งท้ายทำให้เปิดความเสียหายจากกายภาพ 170% และโจมตีให้ศัตรูล้มลง\n\nขั้นที่ 3: พุ่งโจมตี 4 ครั้ง ทำให้เกิดความเสียหายจากกายภาพ 60%สกิลส่งท้ายทำให้เปิดความเสียหายจากกายภาพ 300% และโจมตีให้ศัตรูกระเด็น	ประเภท: โจมตีทะลุ, ฟัน\n\nพุ่งโจมตีเป้าหมายเป็นวงกว้าง ทำให้เกิดความเสียหายจาก $ADD_DAMMIPHYSICS โจมตีกายภาพ + 70% เมื่อใช้ต่อเนื่องจะโจมตีไปยังเป้าหมายข้างหน้าทำให้เกิดความเสียหายหลายครั้ง ความแรงจะเพิ่มตามจำนวนการใช้ต่อเนื่อง และเมื่อจบการโจมตีจะมีการโจมตีส่งท้าย\n\nขั้นที่ 1: พุ่งโจมตี 4 ครั้ง ทำให้เกิดความเสียหายจากกายภาพ 20% สกิลส่งท้ายทำให้เกิดความเสียหายจากกายภาพ 100%\n\nขั้นที่ 2: พุ่งโจมตี 4 ครั้ง ทำให้เกิดความเสียหายจากกายภาพ 40%สกิลส่งท้ายทำให้เปิดความเสียหายจากกายภาพ 170% และโจมตีให้ศัตรูล้มลง\n\nขั้นที่ 3: พุ่งโจมตี 4 ครั้ง ทำให้เกิดความเสียหายจากกายภาพ 60%สกิลส่งท้ายทำให้เปิดความเสียหายจากกายภาพ 300% และโจมตีให้ศัตรูกระเด็น		ADD_DAMMIPHYSICS(1)(0.7)
40143	Violent Puncture	จะต้องใส่ดาบที่มือซ้ายและขวา\nใช้ Soul Gather: 1 ขั้น\nประเภท: โจมตีทะลุ, ฟัน\n\nพุ่งโจมตีเป้าหมายเป็นวงกว้าง ทำให้เกิดความเสียหายจาก $ADD_DAMMIPHYSICS โจมตีกายภาพ + 70% เมื่อใช้ต่อเนื่องจะโจมตีไปยังเป้าหมายข้างหน้าทำให้เกิดความเสียหายหลายครั้ง ความแรงจะเพิ่มตามจำนวนการใช้ต่อเนื่อง และเมื่อจบการโจมตีจะมีการโจมตีส่งท้าย\n\nขั้นที่ 1: พุ่งโจมตี 4 ครั้ง ทำให้เกิดความเสียหายจากกายภาพ 20% สกิลส่งท้ายทำให้เกิดความเสียหายจากกายภาพ 100%\n\nขั้นที่ 2: พุ่งโจมตี 4 ครั้ง ทำให้เกิดความเสียหายจากกายภาพ 40%สกิลส่งท้ายทำให้เปิดความเสียหายจากกายภาพ 170% และโจมตีให้ศัตรูล้มลง\n\nขั้นที่ 3: พุ่งโจมตี 4 ครั้ง ทำให้เกิดความเสียหายจากกายภาพ 60%สกิลส่งท้ายทำให้เปิดความเสียหายจากกายภาพ 300% และโจมตีให้ศัตรูกระเด็น	ประเภท: โจมตีทะลุ, ฟัน\n\nพุ่งโจมตีเป้าหมายเป็นวงกว้าง ทำให้เกิดความเสียหายจาก $ADD_DAMMIPHYSICS โจมตีกายภาพ + 70% เมื่อใช้ต่อเนื่องจะโจมตีไปยังเป้าหมายข้างหน้าทำให้เกิดความเสียหายหลายครั้ง ความแรงจะเพิ่มตามจำนวนการใช้ต่อเนื่อง และเมื่อจบการโจมตีจะมีการโจมตีส่งท้าย\n\nขั้นที่ 1: พุ่งโจมตี 4 ครั้ง ทำให้เกิดความเสียหายจากกายภาพ 20% สกิลส่งท้ายทำให้เกิดความเสียหายจากกายภาพ 100%\n\nขั้นที่ 2: พุ่งโจมตี 4 ครั้ง ทำให้เกิดความเสียหายจากกายภาพ 40%สกิลส่งท้ายทำให้เปิดความเสียหายจากกายภาพ 170% และโจมตีให้ศัตรูล้มลง\n\nขั้นที่ 3: พุ่งโจมตี 4 ครั้ง ทำให้เกิดความเสียหายจากกายภาพ 60%สกิลส่งท้ายทำให้เปิดความเสียหายจากกายภาพ 300% และโจมตีให้ศัตรูกระเด็น		ADD_DAMMIPHYSICS(1)(0.7)
40144	Violent Puncture	จะต้องใส่ดาบที่มือซ้ายและขวา\nใช้ Soul Gather: 1 ขั้น\nประเภท: โจมตีทะลุ, ฟัน\n\nพุ่งโจมตีเป้าหมายเป็นวงกว้าง ทำให้เกิดความเสียหายจาก $ADD_DAMMIPHYSICS โจมตีกายภาพ + 70% เมื่อใช้ต่อเนื่องจะโจมตีไปยังเป้าหมายข้างหน้าทำให้เกิดความเสียหายหลายครั้ง ความแรงจะเพิ่มตามจำนวนการใช้ต่อเนื่อง และเมื่อจบการโจมตีจะมีการโจมตีส่งท้าย\n\nขั้นที่ 1: พุ่งโจมตี 4 ครั้ง ทำให้เกิดความเสียหายจากกายภาพ 20% สกิลส่งท้ายทำให้เกิดความเสียหายจากกายภาพ 100%\n\nขั้นที่ 2: พุ่งโจมตี 4 ครั้ง ทำให้เกิดความเสียหายจากกายภาพ 40%สกิลส่งท้ายทำให้เปิดความเสียหายจากกายภาพ 170% และโจมตีให้ศัตรูล้มลง\n\nขั้นที่ 3: พุ่งโจมตี 4 ครั้ง ทำให้เกิดความเสียหายจากกายภาพ 60%สกิลส่งท้ายทำให้เปิดความเสียหายจากกายภาพ 300% และโจมตีให้ศัตรูกระเด็น	ประเภท: โจมตีทะลุ, ฟัน\n\nพุ่งโจมตีเป้าหมายเป็นวงกว้าง ทำให้เกิดความเสียหายจาก $ADD_DAMMIPHYSICS โจมตีกายภาพ + 70% เมื่อใช้ต่อเนื่องจะโจมตีไปยังเป้าหมายข้างหน้าทำให้เกิดความเสียหายหลายครั้ง ความแรงจะเพิ่มตามจำนวนการใช้ต่อเนื่อง และเมื่อจบการโจมตีจะมีการโจมตีส่งท้าย\n\nขั้นที่ 1: พุ่งโจมตี 4 ครั้ง ทำให้เกิดความเสียหายจากกายภาพ 20% สกิลส่งท้ายทำให้เกิดความเสียหายจากกายภาพ 100%\n\nขั้นที่ 2: พุ่งโจมตี 4 ครั้ง ทำให้เกิดความเสียหายจากกายภาพ 40%สกิลส่งท้ายทำให้เปิดความเสียหายจากกายภาพ 170% และโจมตีให้ศัตรูล้มลง\n\nขั้นที่ 3: พุ่งโจมตี 4 ครั้ง ทำให้เกิดความเสียหายจากกายภาพ 60%สกิลส่งท้ายทำให้เปิดความเสียหายจากกายภาพ 300% และโจมตีให้ศัตรูกระเด็น		ADD_DAMMIPHYSICS(1)(0.7)
40145	Violent Puncture	จะต้องใส่ดาบที่มือซ้ายและขวา\nใช้ Soul Gather: 1 ขั้น\nประเภท: โจมตีทะลุ, ฟัน\n\nพุ่งโจมตีเป้าหมายเป็นวงกว้าง ทำให้เกิดความเสียหายจาก $ADD_DAMMIPHYSICS โจมตีกายภาพ + 70% เมื่อใช้ต่อเนื่องจะโจมตีไปยังเป้าหมายข้างหน้าทำให้เกิดความเสียหายหลายครั้ง ความแรงจะเพิ่มตามจำนวนการใช้ต่อเนื่อง และเมื่อจบการโจมตีจะมีการโจมตีส่งท้าย\n\nขั้นที่ 1: พุ่งโจมตี 4 ครั้ง ทำให้เกิดความเสียหายจากกายภาพ 20% สกิลส่งท้ายทำให้เกิดความเสียหายจากกายภาพ 100%\n\nขั้นที่ 2: พุ่งโจมตี 4 ครั้ง ทำให้เกิดความเสียหายจากกายภาพ 40%สกิลส่งท้ายทำให้เปิดความเสียหายจากกายภาพ 170% และโจมตีให้ศัตรูล้มลง\n\nขั้นที่ 3: พุ่งโจมตี 4 ครั้ง ทำให้เกิดความเสียหายจากกายภาพ 60%สกิลส่งท้ายทำให้เปิดความเสียหายจากกายภาพ 300% และโจมตีให้ศัตรูกระเด็น	ประเภท: โจมตีทะลุ, ฟัน\n\nพุ่งโจมตีเป้าหมายเป็นวงกว้าง ทำให้เกิดความเสียหายจาก $ADD_DAMMIPHYSICS โจมตีกายภาพ + 70% เมื่อใช้ต่อเนื่องจะโจมตีไปยังเป้าหมายข้างหน้าทำให้เกิดความเสียหายหลายครั้ง ความแรงจะเพิ่มตามจำนวนการใช้ต่อเนื่อง และเมื่อจบการโจมตีจะมีการโจมตีส่งท้าย\n\nขั้นที่ 1: พุ่งโจมตี 4 ครั้ง ทำให้เกิดความเสียหายจากกายภาพ 20% สกิลส่งท้ายทำให้เกิดความเสียหายจากกายภาพ 100%\n\nขั้นที่ 2: พุ่งโจมตี 4 ครั้ง ทำให้เกิดความเสียหายจากกายภาพ 40%สกิลส่งท้ายทำให้เปิดความเสียหายจากกายภาพ 170% และโจมตีให้ศัตรูล้มลง\n\nขั้นที่ 3: พุ่งโจมตี 4 ครั้ง ทำให้เกิดความเสียหายจากกายภาพ 60%สกิลส่งท้ายทำให้เปิดความเสียหายจากกายภาพ 300% และโจมตีให้ศัตรูกระเด็น		ADD_DAMMIPHYSICS(1)(0.7)
