n_ID	s_CONDITOIN	s_ACTION
401	DISTANCE_ENEMY>(4000);RATE(30)\nDISTANCE_ENEMY>(4000);RATE(80)\nDISTANCE_ENEMY>(4000)\nHP_I<(0.4);BUFF_I(4989,0,0)\nHP_I<(0.7);RATE(50);BUFF_I(4982,0,0)\nHP_I<(0.3);RATE(80);BUFF_I(4987,0,0)\nHP_I<(0.6);HP_I>(0.3);RATE(80);BUFF_I(4987,0,0)\nHP_I<(0.9);HP_I>(0.6);RATE(80);BUFF_I(4987,0,0)\nHP_I<(0.5);RATE(30);BUFF_I(4986,0,0)\nDISTANCE_ENEMY<(750);RATE(30)\nDISTANCE_ENEMY<(400);RATE(30)\nDISTANCE_ENEMY>(400);RATE(30)\nHP_I<(0.7);DISTANCE_ENEMY<(200);RATE(40);BUFF_I(4982,0,0)\nHP_I<(0.7);RATE(10)\nHP_I<(0.7);RATE(10)\nDISTANCE_ENEMY>(400)\nGO(0)	CHASE(10)\nCHASE(11)\nCHASE(12)\nCHASE(9)\nCHASE(5)\nCHASE(8)\nCHASE(7)\nCHASE(6)\nCHASE(4)\nCHASE(2)\nCHASE(1)\nCHASE(3)\nCHASE(5)\nCHASE(5)\nCHASE(4)\nCHASE(3)\nCHASE(1)
410	DOONCE(0)\nBUFF_I(4984,0,0);HP_I<(0.5);RATE(40)\nBUFF_I(4983,0,0);HP_I<(0.7);RATE(70)\nBUFF_I(4981,0,0);HP_I<(0.8);RATE(50)\nBUFF_I(4982,0,0);HP_I<(0.8);RATE(20)\nBUFF_I(4981,0,1);RATE(30)\nDISTANCE_ENEMY<(3000);RATE(50)\nDISTANCE_ENEMY<(3000);RATE(33)\nBUFF_I(4981,0,0);RATE(20)\nBUFF_I(4982,0,0);RATE(90)\nGO(0)	CHASE(7)\nCHASE(6)\nCHASE(5)\nCHASE(3)\nCHASE(4)\nCHASE(2)\nCHASE(1)\nCHASE(2)\nCHASE(3)\nCHASE(4)\nCHASE(1)
420	BUFF_I(4981,0,0);DISTANCE_ENEMY>(700);RATE(10)\nBUFF_I(4986,0,0);RATE(15)\nBUFF_I(4988,0,0);DISTANCE_ENEMY>(500);HP_I<(0.7);RATE(10)\nBUFF_I(4982,0,0);;RATE(15)\nBUFF_I(4984,0,0);HP_I<(0.5);RATE(50)\nHP_I<(0.5);RATE(7)\nDISTANCE_ENEMY<(500)\nBUFF_I(4980,0,0);RATE(50)\nGO(0)	CHASE(5)\nCHASE(3)\nCHASE(4)\nCHASE(6)\nCHASE(7)\nCHASE(3)\nCHASE(6)\nCHASE(2)\nCHASE(1)
421	HP_I<(0.5);BUFF_I(4989,0,0)\nBUFF_I(4981,0,0);DISTANCE_ENEMY>(700);RATE(10)\nBUFF_I(4986,0,0);RATE(15)\nBUFF_I(4988,0,0);DISTANCE_ENEMY>(500);HP_I<(0.7);RATE(10)\nBUFF_I(4982,0,0);DISTANCE_ENEMY<(700);RATE(15)\nBUFF_I(4984,0,0);HP_I<(0.5);RATE(50)\nHP_I<(0.5);RATE(7)\nRATE(50)\nGO(0)	CHASE(8)\nCHASE(5)\nCHASE(3)\nCHASE(4)\nCHASE(6)\nCHASE(7)\nCHASE(3)\nCHASE(2)\nCHASE(1)
430	DOONCE(0)\nGO(0)	CHASE(1)\nCHASE(2)
440	DOONCE(0)\nBUFF_I(4984,0,0);HP_I<(0.25)\nBUFF_I(3079,0,0);RATE(25)\nDISTANCE_ENEMY>(400);RATE(15)\nBUFF_I(3079,0,0);BUFF_I(4982,0,0);HP_I<(0.80);RATE(25)\nBUFF_I(4987,0,0);HP_I>(0.5);RATE(40)\nBUFF_I(4980,0,0);HP_I<(0.5);RATE(25)\nBUFF_I(4986,0,0);HP_I<(0.75);RATE(35)\nBUFF_I(3079,0,0)\nGO(0)	CHASE(1)\nCHASE(6)\nCHASE(2)\nCHASE(3)\nCHASE(7)\nCHASE(4)\nCHASE(4)\nCHASE(5)\nCHASE(2)\nCHASE(3)
450	BUFF_I(3061,0,1);RATE(30)\nBUFF_I(3061,0,1);DISTANCE_ENEMY>(300);RATE(20)\nBUFF_I(3061,0,1);RATE(20);DISTANCE_ENEMY>(1200)\nBUFF_I(3061,0,1);DISTANCE_ENEMY>(200);RATE(50)\nBUFF_I(3061,0,1);RATE(20)\nBUFF_I(3061,0,1);RATE(20)\nBUFF_I(4983,0,0);HP_I<(0.3)RATE(50)\nDISTANCE_ENEMY>(1500);BUFF_I(4982,0,0);RATE(50)\nBUFF_I(4988,0,0);HP_I<(0.6);RATE(20)\nBUFF_I(4981,0,0);DISTANCE_ENEMY>(300);HP_I<(0.8)RATE(25)\nBUFF_I(4980,0,0);RATE(30)\nBUFF_I(4982,0,0);HP_I<(0.8);RATE(15)\nBUFF_I(4988,0,0);HP_I<(0.3);RATE(50)\nGO(0)	CHASE(2)\nCHASE(3)\nCHASE(4)\nCHASE(6)\nCHASE(8)\nCHASE(5)\nCHASE(7)\nCHASE(4)\nCHASE(5)\nCHASE(3)\nCHASE(2)\nCHASE(4)\nCHASE(5)\nCHASE(1)
451	BUFF_I(3061,0,1);RATE(30)\nBUFF_I(3061,0,1);DISTANCE_ENEMY>(300);RATE(40)\nBUFF_I(3061,0,1);RATE(50);DISTANCE_ENEMY>(1200)\nBUFF_I(3061,0,1);DISTANCE_ENEMY>(200);RATE(70)\nBUFF_I(3061,0,1);RATE(30)\nBUFF_I(4983,0,0);HP_I<(0.8);RATE(50)\nBUFF_I(4982,0,0);RATE(50)\nBUFF_I(4988,0,0);RATE(20)\nBUFF_I(4981,0,0);DISTANCE_ENEMY>(300);HP_I<(0.8)RATE(25)\nBUFF_I(4980,0,0);RATE(30)\nBUFF_I(4988,0,0);HP_I<(0.3);RATE(50)\nGO(0)	CHASE(2)\nCHASE(3)\nCHASE(4)\nCHASE(6)\nCHASE(5)\nCHASE(7)\nCHASE(4)\nCHASE(5)\nCHASE(3)\nCHASE(2)\nCHASE(5)\nCHASE(1)
452	BUFF_I(3061,0,1);RATE(30)\nBUFF_I(3061,0,1);DISTANCE_ENEMY>(300);RATE(20)\nBUFF_I(3061,0,1);RATE(20);DISTANCE_ENEMY>(1200)\nBUFF_I(3061,0,1);DISTANCE_ENEMY>(200);RATE(20)\nBUFF_I(3061,0,1);RATE(30)\nBUFF_I(4983,0,0);HP_I<(0.3)RATE(50)\nDISTANCE_ENEMY>(1500);BUFF_I(4982,0,0);RATE(50)\nBUFF_I(4988,0,0);HP_I<(0.6);RATE(20)\nBUFF_I(4981,0,0);DISTANCE_ENEMY>(300);HP_I<(0.8)RATE(25)\nBUFF_I(4980,0,0);RATE(30);HP_I<(0.5)\nBUFF_I(4980,0,0);RATE(30)\nBUFF_I(4982,0,0);HP_I<(0.8);RATE(15)\nBUFF_I(4988,0,0);HP_I<(0.3);RATE(50)\nGO(0)	CHASE(2)\nCHASE(3)\nCHASE(4)\nCHASE(6)\nCHASE(5)\nCHASE(7)\nCHASE(4)\nCHASE(5)\nCHASE(3)\nCHASE(8)\nCHASE(2)\nCHASE(4)\nCHASE(5)\nCHASE(1)
460	RATE(50)\nGO(0)	CHASE(2)\nCHASE(1)
461	BUFF_I(4981,0,0);RATE(15);HP_I<(0.8)\nRATE(50)\nGO(0)	CHASE(3)\nCHASE(2)\nCHASE(1)
462	BUFF_I(4982,0,0);RATE(10);HP_I<(0.8)\nBUFF_I(4981,0,0);RATE(15);HP_I<(0.8)\nRATE(50)\nBUFF_I(4986,0,0);RATE(15);HP_I<(0.7)\nGO(0)	CHASE(5)\nCHASE(3)\nCHASE(2)\nCHASE(4)\nCHASE(1)
470	RATE(50)\nGO(0)	CHASE(2)\nCHASE(1)
471	BUFF_I(4981,0,0);RATE(15);HP_I<(0.8)\nRATE(50)\nGO(0)	CHASE(3)\nCHASE(2)\nCHASE(1)
472	DISTANCE_ENEMY>(400);BUFF_I(4988,0,0);RATE(35)\nHP_I<(0.6);DISTANCE_ENEMY<(500);RATE(25);BUFF_I(4983,0,0)\nBUFF_I(4982,0,0);DISTANCE_ENEMY>(400);RATE(50)\nBUFF_I(4982,0,0);RATE(20)\nBUFF_I(4986,0,0);RATE(20)\nBUFF_I(4981,0,0);RATE(35);HP_I<(0.8)\nBUFF_I(4981,0,0);RATE(25)\nBUFF_I(4985,0,0);RATE(25);HP_I<(0.4)\nRATE(50)\nGO(0)	CHASE(10)\nCHASE(9)\nCHASE(8)\nCHASE(4)\nCHASE(7)\nCHASE(6)\nCHASE(3)\nCHASE(5)\nCHASE(2)\nCHASE(1)
480	RATE(50)\nGO(0)	CHASE(2)\nCHASE(1)
481	BUFF_I(4981,0,0);RATE(15);HP_I<(0.8)\nRATE(50)\nGO(0)	CHASE(3)\nCHASE(2)\nCHASE(1)
482	BUFF_I(4981,0,0);RATE(15);HP_I<(0.8)\nBUFF_I(4982,0,0);RATE(15);HP_I<(0.8)\nRATE(50)\nGO(0)	CHASE(3)\nCHASE(4)\nCHASE(2)\nCHASE(1)
483	DISTANCE_ENEMY>(700);BUFF_I(8579,0,0);RATE(50)\nHP_I<(0.9);BUFF_I(4982,0,0);RATE(25)\nDISTANCE_ENEMY<(500);RATE(40)\nGO(0)	CHASE(4)\nCHASE(3)\nCHASE(1)\nCHASE(2)
484	DISTANCE_ENEMY>(600);RATE(50);BUFF_I(4980,0,0)\nRATE(60)\nDISTANCE_ENEMY<(500);RATE(10);BUFF_I(4981,0,0)\nDISTANCE_ENEMY<(500);RATE(10);BUFF_I(4981,0,0)\nGO(0)	CHASE(2)\nCHASE(1)\nCHASE(3)\nCHASE(4)\nCHASE(1)
485	HP_I>(0.7);RATE(30)\nBUFF_I(4984,0,0);BUFF_I(4981,0,0);HP_I<(0.7);RATE(30)\nHP_I<(0.5);RATE(10)\nDISTANCE_ENEMY>(400);BUFF_I(4980,0,0);RATE(50)\nBUFF_I(4983,0,0);HP_I<(0.8);RATE(20)\nBUFF_I(4981,0,0);HP_I<(0.6);RATE(20)\nHP_I<(0.5);RATE(15)\nGO(0)	CHASE(1)\nCHASE(5)\nCHASE(5)\nCHASE(2)\nCHASE(4)\nCHASE(3)\nCHASE(3)\nCHASE(1)
486	HP_ENEMY<(0.4);BUFF_I(4994,0,0)\nDISTANCE_ENEMY>(500);BUFF_I(4981,0,0);RATE(50)\nHP_I<(0.4);BUFF_I(4982,0,0)\nKD_ENEMY(1);DISTANCE_ENEMY<(500);RATE(65)\nBUFF_I(4980,0,0);RATE(25)\nDISTANCE_ENEMY>(700);BUFF_I(4987,0,0);RATE(66)\nBUFF_I(4986,0,0);RATE(50);HP_I<(0.4)\nGO(0)	CHASE(8)\nCHASE(1)\nCHASE(4)\nCHASE(2)\nCHASE(3)\nCHASE(5)\nCHASE(7)\nCHASE(6)
487	DISTANCE_ENEMY>(500);DISTANCE_ENEMY<(1700);BUFF_I(4986,0,0);RATE(75)\nDISTANCE_ENEMY>(300);BUFF_I(4981,0,0)\nKD_ENEMY(1);DISTANCE_ENEMY<(400);RATE(1)\nDISTANCE_ENEMY<(300);BUFF_I(4980,0,0);RATE(50)\nDISTANCE_ENEMY<(300);BUFF_I(4986,0,0);RATE(75)\nGO(0)	CHASE(4)\nCHASE(2)\nCHASE(3)\nCHASE(5)\nCHASE(6)\nCHASE(1)
488	BUFF_I(4980,0,0);HP_ALLY<(0.5);RATE(30)\nBUFF_I(4986,0,0);RATE(20);HP_I<(0.5)\nBUFF_I(4984,0,0);HP_ALLY<(0.25);RATE(20)\nBUFF_I(4981,0,0);RATE(50)\nBUFF_I(4987,0,0);RATE(20);HP_I<(0.8)\nGO(0)	CHASE(1)\nCHASE(2)\nCHASE(3)\nCHASE(4)\nCHASE(5)\nCHASE(6)
490	DISTANCE_ENEMY>(1200)\nKD_ENEMY(1);BUFF_I(4986,0,0)\nDISTANCE_ENEMY>(400);BUFF_I(4985,0,0);RATE(45);HP_I<(0.8)\nDISTANCE_ENEMY>(400);BUFF_I(4985,0,0);RATE(75);HP_I<(0.9)\nBUFF_I(4983,0,0);RATE(50);HP_I<(0.45)\nBUFF_I(4987,0,0);RATE(50);HP_I<(0.6)\nBUFF_I(4981,0,0);RATE(25);HP_I<(0.95)\nBUFF_I(4981,0,0);HP_I<(0.5)\nHP_I<(0.7);RATE(30)\nRATE(30)\nGO(0)	CHASE(7)\nCHASE(6)\nCHASE(7)\nCHASE(5)\nCHASE(9)\nCHASE(8)\nCHASE(3)\nCHASE(3)\nCHASE(4)\nCHASE(2)\nCHASE(1)
491	DISTANCE_ENEMY>(1200)\nKD_ENEMY(1);BUFF_I(4986,0,0)\nDISTANCE_ENEMY>(400);BUFF_I(4985,0,0);RATE(45);HP_I<(0.8)\nDISTANCE_ENEMY>(400);BUFF_I(4985,0,0);RATE(75);HP_I<(0.9)\nBUFF_I(4983,0,0);RATE(50);HP_I<(0.65)\nBUFF_I(4981,0,0);RATE(25);HP_I<(0.95)\nBUFF_I(4981,0,0);HP_I<(0.5)\nHP_I<(0.7);RATE(30)\nRATE(30)\nGO(0)	CHASE(7)\nCHASE(6)\nCHASE(7)\nCHASE(5)\nCHASE(9)\nCHASE(3)\nCHASE(3)\nCHASE(4)\nCHASE(2)\nCHASE(1)
500	BUFF_I(3083,0,0)\nGO(0)	CHASE(2)\nCHASE(1)
510	BUFF_I(4980,0,0);RATE(30)\nBUFF_I(4981,0,0);RATE(30)\nBUFF_I(4982,0,0);RATE(30)\nGO(0)	CHASE(2)\nCHASE(3)\nCHASE(4)\nCHASE(1)
520	BUFF_I(3089,0,1)\nBUFF_I(3089,0,0);BUFF_I(4981,0,0);RATE(30)\nBUFF_I(3089,0,0);BUFF_I(4980,0,0);RATE(50)\nBUFF_I(3089,0,0)	CHASE(4)\nCHASE(3)\nCHASE(2)\nCHASE(1)
530	RATE(30)\nHP_I<(0.7);BUFF_I(4981,0,0);RATE(30)\nHP_I<(0.7);BUFF_I(4982,0,0);RATE(30)\nGO(0)	CHASE(2)\nCHASE(3)\nCHASE(4)\nCHASE(1)
540	HP_I<(0.5);BUFF_I(4986,0,0);RATE(30)\nHP_I<(0.7);BUFF_I(4982,0,0);RATE(30)\nHP_I<(0.6);BUFF_I(4981,0,0);RATE(15)\nHP_I<(0.1);BUFF_I(4983,0,0);RATE(10)\nGO(0)	CHASE(2)\nCHASE(3)\nCHASE(4)\nCHASE(5)\nCHASE(1)
550	HP_I<(0.8);BUFF_I(4981,0,0);RATE(30);DISTANCE_ENEMY>(200)\nHP_I<(0.5);BUFF_I(4982,0,0);RATE(30)\nHP_I<(0.9);BUFF_I(4985,0,0);RATE(15)\nGO(0)	CHASE(2)\nCHASE(3)\nCHASE(4)\nCHASE(1)
1000	BUFF_I(10901,0,1)\nBUFF_I(10902,0,1);BUFF_I(4982,0,0);RATE(50)\nBUFF_I(10903,0,1);BUFF_I(4982,0,0);RATE(50)\nBUFF_I(10903,0,1);BUFF_I(4984,0,0);RATE(50)\nBUFF_I(10904,0,1);BUFF_I(4982,0,0);RATE(50)\nBUFF_I(10904,0,1);BUFF_I(4983,0,0);RATE(10)\nBUFF_I(10904,0,1);BUFF_I(4984,0,0);RATE(10)\nBUFF_I(10904,0,1);BUFF_I(4984,0,0);RATE(10)\nGO(0)	CHASE(1)\nCHASE(2)\nCHASE(2)\nCHASE(3)\nCHASE(2)\nCHASE(3)\nCHASE(4)\nCHASE(5)\nCHASE(1)
1001	BUFF_I(10901,0,1);DISTANCE_ENEMY<(250)\nBUFF_I(10901,0,1);BUFF_I(10912,0,1)\nBUFF_I(10902,0,1);BUFF_I(10913,0,1);DISTANCE_ENEMY<(550);BUFF_I(4982,0,0);RATE(50)\nBUFF_I(10902,0,1);DISTANCE_ENEMY<(250)\nBUFF_I(10902,0,1);BUFF_I(10912,0,1)\nBUFF_I(10903,0,1);BUFF_I(10914,0,1);BUFF_I(4984,0,0)\nBUFF_I(10903,0,1);BUFF_I(10913,0,1);DISTANCE_ENEMY<(550);BUFF_I(4982,0,0);RATE(50)\nBUFF_I(10903,0,1);DISTANCE_ENEMY<(250)\nBUFF_I(10903,0,1);BUFF_I(10912,0,1)\nBUFF_I(10904,0,1);BUFF_I(10915,0,1);DISTANCE_ENEMY>(400);BUFF_I(4983,0,0)\nBUFF_I(10904,0,1);BUFF_I(10913,0,1);DISTANCE_ENEMY<(550);BUFF_I(4982,0,0);RATE(50)\nBUFF_I(10904,0,1);BUFF_I(10914,0,1);BUFF_I(4984,0,0)\nBUFF_I(10904,0,1);DISTANCE_ENEMY<(250)\nBUFF_I(10912,0,1)	CHASE(1)\nCHASE(2)\nCHASE(3)\nCHASE(1)\nCHASE(2)\nCHASE(4)\nCHASE(3)\nCHASE(1)\nCHASE(2)\nCHASE(5)\nCHASE(3)\nCHASE(4)\nCHASE(1)\nCHASE(2)
1002	BUFF_I(10901,0,1)\nBUFF_I(10902,0,1);BUFF_I(4982,0,0);RATE(50)\nBUFF_I(10903,0,1);BUFF_I(4982,0,0);RATE(50)\nBUFF_I(10903,0,1);BUFF_I(4984,0,0);RATE(50)\nBUFF_I(10904,0,1);BUFF_I(4982,0,0);RATE(50)\nBUFF_I(10904,0,1);BUFF_I(4983,0,0);RATE(10)\nBUFF_I(10904,0,1);BUFF_I(4984,0,0);RATE(10)\nBUFF_I(10904,0,1);BUFF_I(4984,0,0);RATE(10)\nGO(0)	CHASE(1)\nCHASE(2)\nCHASE(2)\nCHASE(3)\nCHASE(2)\nCHASE(3)\nCHASE(4)\nCHASE(5)\nCHASE(1)
1003	BUFF_I(10901,0,1);DISTANCE_ENEMY<(250)\nBUFF_I(10901,0,1);BUFF_I(10912,0,1)\nBUFF_I(10902,0,1);BUFF_I(10913,0,1);BUFF_I(4980,0,0)\nBUFF_I(10902,0,1);DISTANCE_ENEMY<(250)\nBUFF_I(10902,0,1);BUFF_I(10912,0,1)\nBUFF_I(10903,0,1);BUFF_I(10914,0,1);BUFF_I(4984,0,0)\nBUFF_I(10903,0,1);BUFF_I(10913,0,1);BUFF_I(4980,0,0)\nBUFF_I(10903,0,1);DISTANCE_ENEMY<(250)\nBUFF_I(10903,0,1);BUFF_I(10912,0,1)\nBUFF_I(10904,0,1);BUFF_I(10915,0,1);DISTANCE_ENEMY>(400);BUFF_I(4983,0,0)\nBUFF_I(10904,0,1);BUFF_I(10913,0,1);BUFF_I(4980,0,0)\nBUFF_I(10904,0,1);BUFF_I(10914,0,1);BUFF_I(4984,0,0)\nBUFF_I(10904,0,1);DISTANCE_ENEMY<(250)\nBUFF_I(10912,0,1)	CHASE(1)\nCHASE(2)\nCHASE(3)\nCHASE(1)\nCHASE(2)\nCHASE(4)\nCHASE(3)\nCHASE(1)\nCHASE(2)\nCHASE(5)\nCHASE(3)\nCHASE(4)\nCHASE(1)\nCHASE(2)
1004	BUFF_I(10901,0,1);DISTANCE_ENEMY>(500);BUFF_I(4980,0,0);RATE(50)\nBUFF_I(10901,0,1)\nBUFF_I(10902,0,1);DISTANCE_ENEMY>(500);BUFF_I(4980,0,0);RATE(50)\nBUFF_I(10902,0,1);DISTANCE_ENEMY<(700);RATE(50)\nBUFF_I(10902,0,1);DISTANCE_ENEMY<(700);BUFF_I(4982,0,0);RATE(50)\nBUFF_I(10903,0,1);DISTANCE_ENEMY>(500);BUFF_I(4980,0,0);RATE(50)\nBUFF_I(10903,0,1);DISTANCE_ENEMY<(700);RATE(50)\nBUFF_I(10903,0,1);DISTANCE_ENEMY<(700);BUFF_I(4982,0,0);RATE(50)\nBUFF_I(10904,0,1);DISTANCE_ENEMY<(700);BUFF_I(4982,0,0);RATE(50)\nBUFF_I(10904,0,1);DISTANCE_ENEMY<(700);RATE(50)\nBUFF_I(10904,0,1);DISTANCE_ENEMY<(700);BUFF_I(4982,0,0);RATE(50)\nBUFF_I(10904,0,1);DISTANCE_ENEMY<(700);BUFF_I(4990,0,0);RATE(50)\nGO(0)	CHASE(2)\nCHASE(1)\nCHASE(2)\nCHASE(1)\nCHASE(3)\nCHASE(2)\nCHASE(1)\nCHASE(4)\nCHASE(2)\nCHASE(1)\nCHASE(4)\nCHASE(5)\nCHASE(1)
1005	BUFF_I(10901,0,1)\nBUFF_I(10902,0,1);DISTANCE_ENEMY>(400);RATE(20)\nBUFF_I(10902,0,1)\nBUFF_I(10903,0,1);DISTANCE_ENEMY>(400)\nBUFF_I(10903,0,1)\nBUFF_I(10904,0,1);BUFF_I(4981,0,0);RATE(30)\nBUFF_I(10904,0,1);DISTANCE_ENEMY>(400)\nBUFF_I(10904,0,1)\nGO(0)	CHASE(1)\nCHASE(2)\nCHASE(1)\nCHASE(2)\nCHASE(1)\nCHASE(3)\nCHASE(2)\nCHASE(1)\nCHASE(1)
1006	BUFF_I(10901,0,1);DISTANCE_ENEMY<(250);RATE(70)\nBUFF_I(10901,0,1);BUFF_I(10912,0,1)\nBUFF_I(10902,0,1);BUFF_I(10913,0,1);DISTANCE_ENEMY<(250);BUFF_I(4982,0,0);RATE(20)\nBUFF_I(10902,0,1);DISTANCE_ENEMY<(250);RATE(40)\nBUFF_I(10902,0,1);BUFF_I(10912,0,1)\nBUFF_I(10903,0,1);BUFF_I(10914,0,1);DISTANCE_ENEMY>(450);BUFF_I(4987,0,0);RATE(20)\nBUFF_I(10903,0,1);BUFF_I(10913,0,1);DISTANCE_ENEMY<(250);BUFF_I(4981,0,0);RATE(20)\nBUFF_I(10903,0,1);BUFF_I(10912,0,1);DISTANCE_ENEMY<(250);RATE(40)\nBUFF_I(10903,0,1)\nBUFF_I(10904,0,1);BUFF_I(10914,0,1);DISTANCE_ENEMY>(450);BUFF_I(4987,0,0)\nBUFF_I(10904,0,1);BUFF_I(10913,0,1);DISTANCE_ENEMY<(250);BUFF_I(4982,0,0)\nBUFF_I(10904,0,1);DISTANCE_ENEMY<(250);RATE(40)\nBUFF_I(10904,0,1);BUFF_I(10915,0,1);DISTANCE_ENEMY>(300);BUFF_I(4983,0,0)\nBUFF_I(10904,0,1);BUFF_I(10912,0,1)\nGO(0)	CHASE(1)\nCHASE(2)\nCHASE(3)\nCHASE(1)\nCHASE(2)\nCHASE(4)\nCHASE(3)\nCHASE(2)\nCHASE(1)\nCHASE(4)\nCHASE(3)\nCHASE(1)\nCHASE(5)\nCHASE(2)\nCHASE(1)
1007	BUFF_I(10901,0,1)\nBUFF_I(10902,0,1);RATE(5)\nBUFF_I(10902,0,1)\nBUFF_I(10903,0,1);BUFF_I(4988,0,0);RATE(15)\nBUFF_I(10903,0,1);RATE(5)\nBUFF_I(10903,0,1)\nBUFF_I(10904,0,1);BUFF_I(4984,0,0);RATE(10)\nBUFF_I(10904,0,1);BUFF_I(4988,0,0);RATE(15)\nBUFF_I(10904,0,1);RATE(5)\nBUFF_I(10904,0,1)\nGO(0)	CHASE(1)\nCHASE(2)\nCHASE(1)\nCHASE(3)\nCHASE(2)\nCHASE(1)\nCHASE(4)\nCHASE(3)\nCHASE(2)\nCHASE(1)\nCHASE(1)
1008	BUFF_I(10901,0,1);DISTANCE_ENEMY>(500);BUFF_I(4980,0,0);RATE(50)\nBUFF_I(10901,0,1)\nBUFF_I(10902,0,1);DISTANCE_ENEMY>(500);BUFF_I(4980,0,0);RATE(50)\nBUFF_I(10902,0,1);DISTANCE_ENEMY<(700);RATE(50)\nBUFF_I(10902,0,1);DISTANCE_ENEMY<(700);BUFF_I(4982,0,0);RATE(50)\nBUFF_I(10903,0,1);DISTANCE_ENEMY>(500);BUFF_I(4980,0,0);RATE(50)\nBUFF_I(10903,0,1);DISTANCE_ENEMY<(700);RATE(50)\nBUFF_I(10903,0,1);DISTANCE_ENEMY<(700);BUFF_I(4982,0,0);RATE(50)\nBUFF_I(10904,0,1);DISTANCE_ENEMY<(700);BUFF_I(4982,0,0);RATE(50)\nBUFF_I(10904,0,1);DISTANCE_ENEMY<(700);RATE(50)\nBUFF_I(10904,0,1);DISTANCE_ENEMY<(700);BUFF_I(4982,0,0);RATE(50)\nBUFF_I(10904,0,1);DISTANCE_ENEMY<(700);BUFF_I(4990,0,0);RATE(50)\nGO(0)	CHASE(2)\nCHASE(1)\nCHASE(2)\nCHASE(1)\nCHASE(3)\nCHASE(2)\nCHASE(1)\nCHASE(4)\nCHASE(2)\nCHASE(1)\nCHASE(4)\nCHASE(5)\nCHASE(1)
1009	BUFF_I(10901,0,1)\nBUFF_I(10902,0,1);DISTANCE_ENEMY>(300);RATE(50)\nBUFF_I(10902,0,1)\nBUFF_I(10903,0,1);KD_ENEMY(1);RATE(50)\nBUFF_I(10903,0,1);BUFF_I(4980,0,0);DISTANCE_ENEMY>(300);RATE(50)\nBUFF_I(10903,0,1)\nBUFF_I(10904,0,1);KD_ENEMY(1)\nBUFF_I(10904,0,1);BUFF_I(4980,0,0);DISTANCE_ENEMY>(300);RATE(30)\nBUFF_I(10904,0,1);RATE(70)\nBUFF_I(10904,0,1);BUFF_I(4984,0,0)\nGO(0)	CHASE(1)\nCHASE(2)\nCHASE(1)\nCHASE(3)\nCHASE(2)\nCHASE(1)\nCHASE(3)\nCHASE(2)\nCHASE(1)\nCHASE(4)\nCHASE(1)
1010	BUFF_I(10901,0,1)\nBUFF_I(10902,0,1);DISTANCE_ENEMY>(400);RATE(20)\nBUFF_I(10902,0,1)\nBUFF_I(10903,0,1);DISTANCE_ENEMY>(400)\nBUFF_I(10903,0,1)\nBUFF_I(10904,0,1);BUFF_I(4981,0,0);RATE(30)\nBUFF_I(10904,0,1);DISTANCE_ENEMY>(400)\nBUFF_I(10904,0,1)\nGO(0)	CHASE(1)\nCHASE(2)\nCHASE(1)\nCHASE(2)\nCHASE(1)\nCHASE(3)\nCHASE(2)\nCHASE(1)\nCHASE(1)
1011	BUFF_I(10901,0,1)\nBUFF_I(10902,0,1);DISTANCE_ENEMY>(400);BUFF_I(4980,0,0)\nBUFF_I(10902,0,1)\nBUFF_I(10903,0,1);DISTANCE_ENEMY<(500);BUFF_I(4981,0,0);RATE(20)\nBUFF_I(10903,0,1);DISTANCE_ENEMY>(400);BUFF_I(4980,0,0)\nBUFF_I(10903,0,1)\nBUFF_I(10904,0,1);BUFF_I(4983,0,0);RATE(30)\nBUFF_I(10904,0,1);DISTANCE_ENEMY<(500);BUFF_I(4981,0,0);RATE(30)\nBUFF_I(10904,0,1);DISTANCE_ENEMY>(400);RATE(20)\nBUFF_I(10904,0,1)\nGO(0)	CHASE(1)\nCHASE(2)\nCHASE(1)\nCHASE(3)\nCHASE(2)\nCHASE(1)\nCHASE(4)\nCHASE(3)\nCHASE(2)\nCHASE(1)\nCHASE(1)
1012	BUFF_I(10901,0,1)\nBUFF_I(10902,0,1);KD_ENEMY(1);DISTANCE_ENEMY<(300)\nBUFF_I(10902,0,1);BUFF_I(4982,0,0);RATE(10)\nBUFF_I(10902,0,1)\nBUFF_I(10903,0,1);KD_ENEMY(1);DISTANCE_ENEMY<(300)\nBUFF_I(10903,0,1);BUFF_I(4987,0,0);DISTANCE_ENEMY>(300);RATE(10)\nBUFF_I(10903,0,1);BUFF_I(4982,0,0);RATE(15)\nBUFF_I(10903,0,1)\nBUFF_I(10904,0,1);HP_ALLY<(0.4);BUFF_I(4983,0,0);RATE(20)\nBUFF_I(10904,0,1);KD_ENEMY(1);DISTANCE_ENEMY<(300)\nBUFF_I(10904,0,1);BUFF_I(4987,0,0);DISTANCE_ENEMY>(300);RATE(10)\nBUFF_I(10904,0,1);BUFF_I(4982,0,0);RATE(20)\nBUFF_I(10904,0,1)\nGO(0)	CHASE(1)\nCHASE(2)\nCHASE(3)\nCHASE(1)\nCHASE(2)\nCHASE(4)\nCHASE(3)\nCHASE(1)\nCHASE(5)\nCHASE(2)\nCHASE(4)\nCHASE(3)\nCHASE(1)\nCHASE(1)
