n_ID	s_NAME	s_TITLE	s_NPC_CHATS
805	Lupin	Strange Pirate	ข้าเพียงแค่จะขโมยสมบัติเท่านั้นแต่ยังไม่ทันได้ขโมยเลย
806	Siren	Poseidon's Daughter	พ่อเคยบอกไว้ว่าจะต้องมีคนมาช่วย
807	Hoeker	Twister Blade	ด้วยใบหน้าหล่อๆและมีดบนมือของข้านั้นมีอานุภาพเกรียงไกร ดูอะไรกัน! แกอยู่ที่นี่มีแต่ขัดตาข้าให้ข้าไปดาดฟ้าเรือเถอะ!
808	Gray	Fortress Ironshield	ถ้าเจ้ารู้สึกเบื่อที่จะอยู่ในห้องโดยสารข้าขอแนะนำให้เจ้าไปบนดาดฟ้าเรือสูดอากาศดีกว่า!
809	sillyfen	Predators	ได้ยินมาว่าน่านน้ำแห่งนี้มักจะมีมอนสเตอร์ที่กินมนุษย์รบกวนอยู่ ข้าอยากจะเห็น......แถมตรงนี้แลดูอึดอัดเจ้าคิดจะไปดาดฟ้าเรือกันไหม?
810	Amanda	Black Rose	....แย่แล้ว! ข้าเพิ่งจะเสี่ยงทายบนเครื่องเสี่ยงทายปีศาจปรากฏว่าเรือลำนี้กำลังจะพบกับหายนะขั้นร้ายแรง ถ้าเป็นไปได้เจ้าจงไปบนดาดฟ้าเรือดูซิว่าบนมหาสมุทรมีอันตรายอะไรเกิดขึ้นไหม!
811	Bryn	Cutie	ข้าจะต้องค้นหาสมบัติราชาโจรสลัดให้พบ ข้ารอคอยที่จะไปอยู่บนดาดฟ้าเรือมองไปรอบๆ เจ้าอยากจะไปด้านบนดูกับข้าไหม?
812	Insurrection Male Prisoner		
813	Insurrection  Female Prisoner		
814	Insurrection  Female Prisoner		
815	Bluebeard Barney	Unemployed Crew	จะอยู่ที่นี่กันแค่ขั่วคราวเท่านั้นแหละ ข้าจะรีบออกเรืออีกครั้ง
816	Coruno	Sergeant Major vanguard	คิดจะจ้างพวกตระกูลเพนกวิน ก็มาหาข้าสิ!
817	Jinbada	Eastern Wolf	ข้ามาจากทางตะวันออกของคายสมุทรทั้งเจ็ดที่ห่างไกล มาที่นี่เพื่อแสวงหาการผจญภัยที่น่าตื่นเต้นมากขึ้น!
818	Bear	Gutman	อย่ามารบกวนข้า ข้าอยากดื่มเหล้า 
819	Tuna	Pink Bomb Girl	ข้าหวังว่าวันหนึ่งจะร่วมออกทะเล ข้าต้องทำยังไง?  
820	Caribbean	Curse Captain 	เหล้าไร้รสชาติเสียแล้ว ร่างกายของข้าแม้จะผอมแห้งแต่จิตใจที่มุ่งหวังจะผจญภัยยังเต้นอยู่
821	Divinity	Barbarian	ดาบที่คมเหมือนอุดมการณ์ที่ขับเคลื่อนไป
822	meow	Adventure Cat	ชีวิตทุกวันนี้คือการผจญภัยเหมียว
824	Sai Feross	Treasure Hunters No.1	ขอเพียงจ่ายในราคาของข้าได้ ข้าก็สามารถปฎิบัติภารกิจลำบากแทนเขาได้
825	Sai Feross	Treasure Hunters No.2	ขอเพียงจ่ายในราคาของข้าได้ ข้าก็สามารถปฎิบัติภารกิจลำบากแทนเขาได้
826	Odyssey	Wrath Witch	แม้ว่าข้าจะมีความอดทนสูง แต่โอกาสที่ดีสำหรับการแก้แค้น กลับเป็นเพียงความพอใจแค่ชั่วขณะเท่านั้นแหละ
827	Lupin	Strange Pirate	ข้าเพียงแค่จะขโมยสมบัติเท่านั้นแต่ยังไม่ทันได้ขโมยเลย
828	Ophelia	Death Girl	แกยังสามารถรอดชีวิตมาพบข้าได้ มันคือความโชคดีหรือโชคร้ายกันแน่นะ?
829	Sea Phantom	Poseidon Instrument Holder	ใครกล้าที่จะโจมตีเรือธงของข้า ปลายทางมีเพียงความตายเท่านั้นแหละ
830	Angelina	Pirate Princess	ข้าจะโค่นเจ้าซะ <text style="79">[52500829]</text>!
831	huer	Novice Warrior	ตามหาจิตวิญญาณของนักรบ จะยิ่งทำให้ตระหนักถึงเส้นทางแห่งนักรบ
832	Laura	Treasure Hunters	เจ้าต้องฝึกฝนให้มากกว่านี้ เจ้าถึงจะเป็นนักล่าสมบัติที่เก่งกาจเหมือนกับข้า
833	Brin	Gold Shop	ทองของPoseidon นั้นยังไม่ใช่ของหายากสำหรับนักสะสม แต่เป็นเครื่องรางที่แม้แต่ลูกเรือยังใฝ่หาแม้ในความฝัน
834	San Marco	Sky Dragon Trader	เจ้ามาทำอะไรที่นี่ ร้านพ่อค้ามังกรฟ้าของข้าไม่ได้ให้คนระดับเจ้ามาซื้อได้ รีบไสหัวไปซะ อย่ามาทำให้อากาศบริสุทธิ์แถวนี้กลายเป็นมลพิษ!
835	Columbus	Ocean Transport Station	มหาสมุทรที่ไร้ขอบเขต สามารถทำให้ความฝันที่ไร้ขอบเขตของเจ้านั้นเป็นจริงขึ้นมาได้ รีบตามข้ามา <text style="79">[52500835]</text>, ไปสู่หนทางอิสระกันเถอะ!
836	Concentration camp prisoner		ใครกันที่มาช่วยพวกเรา!
837	Concentration camp prisoner		ใครกันที่มาช่วยพวกเรา!
838	Concentration camp prisoner		ใครกันที่มาช่วยพวกเรา!
839	Coma Guard		……
840	Empty Island Harpy		
841	Concentration camp prisoner		ใครกันที่มาช่วยพวกเรา!
842	Navy soldier		
843	Tunnel Serpent		
844	Tunnel Viper		
845	Mad War Norman		
846	Navy soldier		อย่าปล่อยให้นักโทษหนีออกมาได้!
847	Navy Guard		บนมือข้านี้คือพวงกุญแจที่สำคัญที่สุด ไม่ว่าจะเกิดไรขึ้นห้ามไปอยู่บนมือเจ้าพวกคนเลวนี้ได้
848	Armed Prisoner		
849	Tunnel Snake		
850	Drift Bottle		
851	Insurrection Male Prisoner		
852	Insurrection  Female Prisoner		
853	Juliet		ยินดีกับพวกเจ้าที่จะได้กลายเป็นพันธมิตรกัน!
854	Elephant Oz	Navy Spy	ต้องรีบห้าม Jason ไปเป็นพันธมิตรกับ Rough Sea Fortress ถึงจะถูก
855	Jack	Pumpkin Demon King	ฮ่าฮ่าฮ่า สุขสันต์วันแห่งพระเจ้า!
856	Mystery Black Robe Warrior		ข้าต้องการจะนำสมบัติทั้งหมดของโลกนี้ไปให้หมด
857	Different World Demon Wolf		
858	Skeleton Sseaman		
859	Skeleton Captain		
860	Skeleton Sseaman		
861	Skeleton Sseaman		
862	Graveyard Ghost		
863	Graveyard Ghost		
864	Graveyard Ghost		
865	Ghost King		
866	Mirage reel		กรุณาหนีจากที่นั่นให้เร็วที่สุด พวกข้าจะ....หาวิธี......(เสียงของเจ้าหน้าที่ Coulson ค่อยๆหดหายไป)
867	Flame test tips		ฮี่ฮี่ฮี่ เจ้านั้นจะมีวิธีการที่จะผ่านการทดสอบของข้าได้หรือไม่?
868	Candlelight test tips		ครั้งนี้ก็ไม่มีวิธีผ่านการทดสอบไปได้ใช่รึเปล่า?
869	King test tips		สามารถมาถึงที่นี่ได้ ช่างไม่ง่ายเลย
870	Army test tips		นี่คือการทดสอบขั้นสุดท้าย เจ้าจะผ่านมันไปได้หรือไม่?
871	Agent Coulson		ข้าต้องสอบสวนแผนการของ Dr.Alpha!
874	Siren		แกเป็นตัวอะไร? จะมาชิงคนเลวของ Poseidon ใช่ไหม?
875	Sea Phantom		แกเป็นตัวอะไร? ทำไมแกทำให้ข้ารู้สึกคุ้นเคยเช่นนี้.....
876	Sea Phantom		แกเป็นตัวอะไร? ทำไมแกทำให้ข้ารู้สึกคุ้นเคยเช่นนี้.....
877	Ellie	Authority Examine	ทำได้ดีมาก! ไว้พรุ่งนี้ค่อยมาท้าสู้อีก!
878	Lanny	Authority Examine	ทำได้ดีมาก! ไว้พรุ่งนี้ค่อยมาท้าสู้อีก!
879	Sherley	Authority Examine	ทำได้ดีมาก! ไว้พรุ่งนี้ค่อยมาท้าสู้อีก!
881	Snowman		
882	Magellan		สุขสันต์วันคริสต์มาส เชิญมาร่วมกิจกรรมของพวกเราสมาคมการค้าMagellan !
883	Basil	Navy Transport Officer	พวกทหารใหม่ของกองทัพ รีบไปลงทะเบียนกับครูผู้ฝึก <text style="79" path="884">[52500884]</text>  ถ้าครูฝึกโกรธขึ้นมาจะน่ากลัวมาก!
884	Hande	Support Troops	พวกทหารใหม่รีบวิ่งมาทางนี้! พวกที่ช้าทำอะไรอยู่?!
885	Hande	Support Troops	เคลื่อนไหวให้เร็ว อย่ามัวชักช้า ในสนามรบไม่มีเวลาให้พวกแกมานั่งจับปลาหรอกนะ!
886	Arnaud	Devil Trainers	อยากจะเรียนรู้ทักษะเพิ่มก็ให้มาหาข้าซะ!
887	Hande	Support Troops	การฝึกฝนทหารใหม่หากยังไม่จบการฝึกก็ห้ามประมาทเด็ดขาด!
888	Hande	Support Troops	โอ้โห ทหารใหม่ของกองทัพนี่ลำบากจริงๆ
889	Liou	Army Medical	การฝึกนั้นก่อให้เกิดอันตรายต่อร่างกาย ก็ส่งมาให้ข้ารักษาซะ!
890	Arnaud	Devil Trainers	อ่า......หิวจังเลย...เมื่อใหร่จะถึงเวลากินข้าวนะ?
891	Arnaud	Devil Trainers	การฝึกฝนนั้นแสนลำบากข้าเข้าใจ ต้องอดทนพยายามขึ้นอีก!
892	Arnaud	Devil Trainers	นี่คือการทดสอบขึ้นสุดท้ายแล้ว สู้ๆ!
893	Lightning Enchanted Generator		
894	Rookie Recruit		ที่นี่คือนรกอะไรกันนี่ ข้าไม่มีแรงแล้ว
895	Deer		โย่ว~ โย่ว~
896	Alienation Wolf		
897	Alienation Big Wolf		
898	Passers Soldier		ไม่เห็นมีใครบอกข้าเลยว่าเป็นทหารมันจะเหนื่อยแบบนี้ ข้าอยากกลับบ้านแล้ว!
899	Aisha	Herdsman	ท่านคนนั้นอ่ะ ท่านชอบสัตว์เลี้ยงประเภทไหนกันหละ?
900	Kindly Deer		อูย~~
901	Rookie Recruit		ไม่เห็นมีใครบอกข้าเลยว่าเป็นทหารมันจะเหนื่อยแบบนี้ ข้าอยากกลับบ้านอ่าแม่!
902	Wang Willie	Chocolate Factory Owner	ข้าทำช็อคโกแลตที่มีรสหวานอร่อยที่สุดในโลก!
903	Melody	Grocer	ยินดีต้อนรับสู่ร้านขายของ <text style="79">[52500903]</text> มักจะไม่ต้องไปซื้อสินค้าถึง <text style="79">[52500157]</text> ที่นี่ข้าก็ได้รับความนิยมอีกด้วย
904	Chalais	Illustrations Appraisers	ดำรงตำแหน่งเป็น <text style="79">[52500248]</text> ช่วยให้เราระบุความสามารถที่เพิ่มขึ้นได้!
905	Benfolio	ร้านพันธมิตร	มิตรภาพสามารถช่วยให้เจ้าแสดงความสามารถออกมาได้อย่างน่าทึ่ง!
906	Hande	Support Troops	ทหารใหม่ทางด้านนั้น ทำให้ข้ามีความพยายาม!
907	Sediment Wolf		
908	Jungle Fugitive		
909	Strand	PVP Shop	ขัดเกลาทักษะฝีมือของตนให้มากกว่าคนอื่นซะ!
910	Saben	Onboard Engineer	สงครามเกิดขึ้นบ่อยครั้ง เรือที่มาซ่อมแซมยิ่งมายิ่งเสียหายหนัก
911	Mysterious Stranger		สถานการณ์ปัจจุบันนี้ทำให้ข้าสับสนไปหมด
912	Lisa	Navy Transport Officer	มหาสมุทรแห่งนี้ไม่ปลอดภัย ข้าต้องถอยก่อนล่ะ
913	Fraga	Fragment Changer	
914	Waite	Navy Supply Officer	
915	Isla	Nautilus Leader	
916	Training Iron Man		
918	Vera	Nutrition Jelly Shop	
919	Energy Strength Crystal		(ผลึกพลังงานที่อาณาจักร Atlantis ใช้เป็นเครื่องสื่อสาร)
920	Hemingway	Strange Fishing	ข้าเป็นนักปรัชญาชาวประมง ณ ที่แห่งนี้
921	Angelina	เจอเรื่องอันตรายตลอด	เขาไม่สนใจข้าแล้ว! 
922	Sea Phantom	ท่าทางแปลกประหลาด	หน้าซีด...ไม่พูดไม่จา)
923	Big Sword	หนักมาก	(รูปทรงโบราญ ด้านบนมีตัวอักษร)
924	Carlos	ปีศาจแห่งนรก	ฮืดดด...ฮาดด..
925	Sea Phantom	อารมณ์ไม่แน่นอน	ทำไมถึงเป็นแบบนี้...
926	Val'kyr	อัศวินบาปกำเนิดในตำนาน	อย่าลืมสิ่งที่กำลังตามหา
927	Loverage Nurse		บาดเจ็บมาเหรอ? นั่งพักที่นี่ก่อนสิ ความเจ็บ~ความปวด~จงหายไป~♪
928	Hired Detective	Hard work	งานนี้ไม่เกี่ยวกับการต่อสู้เลยสักนิด
929	Jensen	Lying on the ground	(ไม่มีการตอบสนอง)
930	Suspicious Ship		
931	Davinci	Kidnapped	ช่วยด้วยยยยยยย
932	Vicious Pirate		
933	Apple	Ultimate Bodyguard	ข้าไม่กลัวแม้แต่น้อย!
934	Keleita	ร้านเสื้อผ้า	เชิญดูได้ตามใจเลย!
935	Edmund	ผู้สนับสนุนโจรสลัด	Atlantic ข้ากลับมาแล้ว!
936	Magellan	ผู้สนับสนุนทหารเรือ	พวกโจรสลัดช่างน่าเกลียดชังยิ่งนัก!
937	Mengsk	ผู้สังเกตการณ์	จะต้องจับตาดูสถานการณ์ Atlantic ให้ดีถึงจะถูก
938	餵鼎腥		
939	海皇城寨傳送員		
940	海皇城寨傳送員		
941	海皇城寨傳送員		
942	雷頓	武器鐵匠	我能打造出媲美傳說等級的裝備喔！
943	萊德	防具鐵匠	我能打造出媲美傳說等級的裝備喔！
944	萊德	防具鐵匠	我能打造出媲美傳說等級的裝備喔！
1000	Young Tiger		
1001	Young Orangutan		เจี๊ยกๆ! เจี๊ยกๆ! (เจ้าลิงอุรังหุตังตัวนี้ดูเหมือนจะมีความสุขอยากให้เจ้าไปกับมัน) 
1002	Emerald Tornado		
1003	Jungle Agent		อู้ว! อู้ว!
1004	Al Timo	Prototype War Weapon 	
1005	Forest Green Eagle		
1006	Sharp snake poison ivy		
1007	non-avaible	No Data	ไม่มีข้อมูล
1008	Craig Firebird		
1009	Jungle Tiger		
1010	Ward Kingkong		
1011	Greenwood Magic Flower		
1012	Toxic Vine		
1013	non-avaible	No Data	ไม่มีข้อมูล
1014	Ancient Civilization Alert Weapon		
1015	Thorn Hammer Bee		
1016	lenka		
1017	Guawa family Dlansman		
1018	Devourer		
1019	Young Orangutan		เจี๊ยกๆ! เจี๊ยกๆ! (เจ้าลิงอุรังหุตังตัวนี้ดูเหมือนจะหิวละนะ บางทีให้มันกินราก <text>[51303007]</text> ได้ไหม?) 
1025	Mysterious Businessman		ข้าเป็นพ่อค้าที่ลึกลับไม่ได้เป็นพ่อค้าที่น่ากลัว!
1026	Madisen	Finding Plato	นึกไม่ถึงว่าสถานที่มีร่องรอยทางประวัติศาสตร์แห่งนี้จะใหญ่ขนาดนี้ ช่างน่าตกใจจริงๆ!
1027	Madisen	Sweat	หุหุ.......ข้าควรจะลดน้ำหนักแล้วหละ.........
1028	Plato	Atlantis Prime Minister	ข้าเป็นผู้ที่แข็งแกร่งที่สุดนับตั้งแต่ก่อตั้งราชอาณาจักรมา ข้าจึงต้องแบกรับอนาคตของราชอาณาจักรAtlasไว้
1029	Plato	Planners	ทุกสรรพสิ่งบนโลกนี้อยู่ในการควบคุมของข้า
1030	Young Tiger		
1031	Young Orangutan		เจี๊ยกๆ! เจี๊ยกๆ! (เจ้าลิงอุรังหุตังตัวนี้ดูเหมือนจะมีความสุขอยากให้เจ้าไปกับมัน) 
1032	Emerald Tornado		
1033	Jungle Agent		อู้ว! อู้ว!
1034	Al Timo	Prototype War Weapon 	
1035	Sharp snake poison ivy		
1036	Craig Firebird		
1037	Ward Kingkong		
1038	Greenwood Magic Flower		
1039	Ancient Civilization Alert Weapon		
1040	Thorn Hammer Bee		
1041	lenka		
1042	Guawa family Dlansman		
1043	Devourer		
1044	Young Orangutan		เจี๊ยกๆ! เจี๊ยกๆ! (เจ้าลิงอุรังหุตังตัวนี้ดูเหมือนจะหิวละนะ บางทีให้มันกินราก <text>[51303007]</text> ได้ไหม?) 
1045	Thorn Hammer Bee		
1046	Long-range Artillery Mech		
1047	Hostage Spider		
1048	Jungle Saboteur		
1049	Gather Ability Field		
1090	Angelina	Misty Eyes	......ลาลาลา! ข้าเป็นสัตว์เลี้ยงตัวน้อย ข้าชอบถูกคนมาเลี้ยง........ลาลาลา!
1093	Fur seal		
1094	Black Plaits Pirates		
1095	Red Horn Pirates Group		
1096	Two Horns Tiger		
1097	Purple Flame Lion		
1098	Fiery Red Bear		
1099	Jade magician		
1100	Davy Jones		
1101	Sea Dragon Warrior		
1102	Gladiator Slave Girl		
1103	Snail		
1104	Rocco	Meadea's Pet	
1105	Medea		
1106	Urouge		
1114	Medea	Sleepless	ข้านั้นอิจฉาแก <text style="79">[52500013]</text> โลกนี้มีข้าอยู่แล้วทั้งคนทำไมถึงต้องมีแกอยู่ด้วยอีกคน?
1115	Medea	Sleepless	....จะมานอนหลับคืนนี้สู้เข้าไปในราชวังเป็นเพื่อนข้าดีกว่า!
1116	Odyssey	Revenge Opportunistic	ถ้าแกกล้ามาทำลายแผนการของข้า ข้าจะฆ่าเจ้าซะข้าไม่ได้ล้อเล่น
1117	Odyssey	Revenge Opportunistic	ถ้าแกกล้ามาทำลายแผนการของข้า ข้าจะฆ่าเจ้าซะข้าไม่ได้ล้อเล่น
1118	Odyssey	Liberator	ไม่ต้องมองมาที่ข้า ข้าจะไม่ช่วยให้เจ้าจัดการกับศัตรู ข้าจะเก็บแรงไว้เพื่อจะจัดการกับ <text style="79">[52500204]</text>
1119	Odyssey	Vile Witch	ขอเพียงแค่ดำเนินการตามแผนการล้างแค้นของข้า แล้วค่อยมารังเกียจแผนการของข้า
1120	Fur seal		
1121	Black Plaits Pirates		
1122	Red Horn Pirates Group		
1123	Two Horns Tiger		
1124	Purple Flame Lion		
1125	Fiery Red Bear		
1126	Jade magician		
1127	Davy Jones		
1128	Sea Dragon Warrior		
1129	Gladiator Slave Girl		
1130	Snail		
1131	Rocco	Meadea's Pet	
1132	Medea		
1133	Urouge		
1134	砍刀機關		
1135	砍刀機關受擊者		
1137	傑森	海盜皇帝	
1180	Iceberg Turtle		
1181	Polar ape		
1182	Blue Ocean soul		
1183	Moor Slime		
1184	Blind Hound		
1185	Flash Snail		
1186	Fur seal		
1187	Crystal Bibi		
1188	Crusty Bone Fish		
1189	Polar deer		
1190	Blue Sea Snake		
1191	Floating Island Jellyfish		
1192	Temple Snake		
1193	Allure Enchantress		
1194	Odyssey	Witch Pirate 	เจ้าเป็นพันธมิตรหรือศัตรูกับข้ากันหละ?
1195	Sea Phantom	Vigilance	แม่มดโจรสลัดเต็มไปด้วยอุบายเล่ห์เหลี่ยมมากมายไม่อาจประเมินได้
1196	Odyssey	Pride	แม้ว่าเจ้าจะร่วมมือกับ <text style="79">[52500087]</text> ข้าก็ไม่กลัว
1197	Odyssey	Witch Pirate 	เจ้ายังไม่ตายช่างโชคดีจริงๆ
1198	Odyssey	Witch Pirate 	แกยังมีชีวิตอยู่ช่างมหัศจรรย์จริงๆ
1199	Sea Phantom	Brave Enemies	อย่ามาขัดขวางการประลองของพวกข้า!
1200	Laura	Treasure Hunter	อยากจะรู้ว่าต้องทำอย่างจึงจะผ่านรังด้วงศีกดิ์สิทธิ์นีได้ ช่วยสอนข้าทีเถอะ!
1210	Odyssey	Witch Pirate 	อย่ามาขัดขวางการประลองของพวกข้า!
1211	Sea Phantom	Brave Enemies	เฮ้อ
1212	Odyssey	Witch Pirate 	อย่ามาขวางทาง!
1213	Laura	Dating Man	ข้าได้จองสถานที่โปรดของข้าซึ่งเต็มไปด้วยอันตรายไว้แล้ว
1214	Laura	Treasure Hunter	แกดู สมบัติที่จมหายไปอยู่ข้างหน้านี่แล้ว 
1215	Blue Ocean soul	Summon	
1220	Iceberg Turtle		
1221	Polar ape		
1222	Blue Ocean soul		
1223	Moor Slime		
1224	Blind Hound		
1225	Flash Snail		
1226	Fur seal		
1227	Crystal Bibi		
1228	Crusty Bone Fish		
1229	Polar deer		
1230	Blue Sea Snake		
1231	Floating Island Jellyfish		
1232	Temple Snake		
1233	Allure Enchantress		
1234	蟑螂2隻		
1235	蟑螂3隻		
1236	泡泡怪物		
1237	蟑螂		
1238	海怪巢穴 - 落石機關		
1239	海怪巢穴 - 落石機關(擊倒)		
1240	泡泡怪物		
1241	Blue Ocean soul	Summon	
1270	Dark soul		
1271	Sewer Iron Man		
1272	Steam Iron Man		
1273	Blitz Veteran		
1274	Skeleton Sseaman		
1275	Skeleton Chiliarch		
1276	Skeleton Mate		
1277	Skeleton Captain		
1278	Empire Armoured Car		
1279	Bomb shell Spider		
1280	Dark soul		
1281	Refugees		ข้ากลัวแล้ว ช่วยข้าด้วย!
1282	Refugees		ที่นี่มีสัตว์ประหลาดเยอะมากควรจะทำยังไงกันดี!
1283	Refugees		ช่วยด้วย! ช่วยข้าด้วย!
1284	Steam Iron Man		
1285	Skeleton Mate		
1286	Dark soul		
1300	Dark soul		
1301	Sewer Iron Man		
1302	Steam Iron Man		
1303	Blitz Veteran		
1304	Skeleton Sseaman		
1305	Skeleton Chiliarch		
1306	Skeleton Mate		
1307	Skeleton Captain		
1308	Empire Armoured Car		
1309	Bomb shell Spider		
1310	Dark soul		
1311	Refugees		ข้ากลัวแล้ว ช่วยข้าด้วย!
1312	Refugees		ที่นี่มีสัตว์ประหลาดเยอะมากควรจะทำยังไงกันดี!
1313	Refugees		ช่วยด้วย! ช่วยข้าด้วย!
1314	Steam Iron Man		
1315	Skeleton Mate		
1316	Dark soul		
1360	Red Flame Demon Wolf		
1361	Hell King Kong		
1362	Fire magic		
1363	Flame Mountains deer		
1364	Earth Flame Dragon		
1365	Razor Blackhawk		
1366	Remains Bibi		
1367	Hell Dragon Majin		
1368	Fire Euglena		
1369	Red Wicked Eyes		
1370	Phosphor powder Banshee		
1371	Bat Banshee		
1372	Hell Ghoul		
1373	Hell Ghost		
1374	Dante		
1375	Spray Lava	Monster 	
1376	Spray Lava Abused	Monster 	
1377	Angelina	Dante's Grandson	ข้าเป็นห่วงอาการของปู่ <text style="79">[52500333]</text> มากเลย.......
1378	Sea Phantom	Combative	คู่ต่อสู้แข็งแกร่งทำให้ข้าฮึกเหิมมากขึ้น
1379	Dante	Sin Warrior	ฆ่าฆ่าฆ่าฆ่าฆ่าฆ่าฆ่าฆ่าฆ่าฆ่าฆ่าฆ่า!
1380	Val'kyr	Ultimate Demon	ข้าต้องไปช่วยลูกของข้า
1381	Angelina	Pirate Princess	ทำไมเขามักจะหลบๆ ข้านะ?
1382	Angelina	Pure Love Princess	เจตจำนงของข้านั้นสุดท้ายเขาจะเข้าใจหรือไม่เข้าใจกันแน่นะ?
1383	Sea Phantom	Brave Enemies	มาเถอะ! นี่คือความฝันที่เจ้าตามหา
1384	Poseidon Instrument		(ร่าง Poseidon ซ่อนในใต้ดินอย่างปลอดภัย)
1385	Siren	Poseidon's Daughter	ในที่สุดข้าก็นำสมบัติของพ่อกลับมา
1386	Val'kyr	Dante's Mum	ดูเหมือนว่าข้าจะได้ยินเสียงของ <text style="79">[52500073]</text>
1387	Sea Phantom	Brave Enemies	มาเถอะ! นี่คือความฝันที่เจ้าตามหา
1388	Dante	Enchanted	ฆ่าฆ่าฆ่าฆ่าฆ่าฆ่าฆ่าฆ่าฆ่าฆ่าฆ่าฆ่า!
1389	Sea Phantom	Defeat	ไม่ได้.....ข้าจะแพ้ไม่ได้
1390	Red Flame Demon Wolf		
1391	Hell King Kong		
1392	Fire magic		
1393	Flame Mountains deer		
1394	Earth Flame Dragon		
1395	Razor Blackhawk		
1396	Hell Dragon Majin		
1397	Red Wicked Eyes		
1398	Phosphor powder Banshee		
1399	Bat Banshee		
1400	Hell Ghoul		
1401	Hell Ghost		
1402	Dante		
1450	Sediment Wolf		
1451	Lion pirates		
1452	Mad Cow Pirates		
1453	Odyssey		
1454	Walrus general		
1455	Rhinoceros Air thief group		
1456	Plato		
1457	Death Hourglass		
1458	Extreme Magnetic Gun		
1459	Electrical Soldier		
1460	Akejim		
1461	Dragon Air Thief		
1462	Protect City  Mech		
1463	Air Thief Meteor Mech		
1464	Navy guns Mech		
1465	Golden Cat Navy Group		
1466	Women Air thief group		
1467	Penguin Corporal		
1468	Penguin Master Sergeant		
1469	Remains Guardian		
1470	Nightmare Guardian		
1471	Nora Jana Sword		
1475	Mine Car		
1477	Odyssey	Wrath Witch	ในสายตาของเจ้าข้าอาจจะเป็นแค่ผีที่เต็มไปด้วยความอาฆาต
1478	Odyssey	Lonely Witch	ถ้าหากว่าข้ามีสหายผู้ไม่เคยคิดทรยศเช่นนี้ ควรจะมีไว้มากๆ
1479	Odyssey	Pride	ถ้ามีสหายที่ไม่จริงใจต่อกัน ข้าขออยู่คนเดียวดีกว่า
1480	Plato	Angry Prime Minister	เจ้าคาดหวังในตัวข้าเกินไปแล้ว!
1481	Odyssey	Freedom	ติดตามข้ามาถึงจะได้อิสระอย่างแท้จริง
1482	Plato	Expect Salvation	ยังไม่ได้หยุดยั้ง <text style="79">[52500013]</text> เลย เดี๋ยวจะไม่ทันการเอานะ!
1483	Odyssey	Waiting for someone to help	ถ้าหากว่าแกสามารถขัดขวางความฝันข้าได้ ก็เข้ามา!
1484	Plato	Genius Prime Minister	อีกแค่ไม่กี่ก้าวเท่านั้นความฝันของข้าก็จะเป็นจริง
1485	Plato	Greedy	ข้าต้องการที่จะมีความรู้เกี่ยวกับจักรวาลทั้งหมด
1486	Plato	Ambitious	ทิ้ง <text style="79">[52500013]</text> ซะเป็นทางเลือกที่ดีที่สุดของแกแล้ว
1487	Odyssey	Angry Witch	ที่แกทรยศนั้นข้าโกรธจริง
1488	Plato	Utopia King	เป็นเกียรติกับเจ้ามากที่ได้มาดูการเกิดของยูโทเปีย
1489	Odyssey	Turn the Tide	ยังไม่ได้หยุดยั้ง <text style="79">[52500052]</text> เลย เดี๋ยวจะไม่ทันการเอานะ!
1490	Plato	Runaway Ambition	อย่าพยายามอีกเลย! เข้าไปในยูโทเปียอันสวยงามด้วยกันดีกว่า!
1491	Sediment Wolf		
1492	Lion pirates		
1493	Mad Cow Pirates		
1494	Walrus general		
1495	Rhinoceros Air thief group		
1496	Death Hourglass		
1497	Extreme Magnetic Gun		
1498	Electrical Soldier		
1499	Akejim		
1500	Dragon Air Thief		
1501	Protect City  Mech		
1502	Air Thief Meteor Mech		
1503	Navy guns Mech		
1504	Golden Cat Navy Group		
1505	Women Air thief group		
1506	Penguin Corporal		
1507	Penguin Master Sergeant		
1508	Remains Guardian		
1509	Nightmare Guardian		
1510	Nora Jana Sword		
1514	Mine Car		
1570	Slave Gladiator		
1571	Drunk wolf pirates		
1572	Lion pirates		
1573	Mad Cow Pirates		
1574	Desert Wolf Pirates		
1575	Slave Gladiator		
1576	Slave Gladiator		
1577	Slave Gladiator		
1578	Earth Ripper		
1579	Slave Gladiator		
1580	Walrus pirates		
1581	Slave Gladiator		
1582	Forest Demon		
1583	Dragon Gladiator		
1584	Beirut	Ice Witch	
1585	Catwoman Pirate Person		
1586	Craig Firebird		
1587	Heaven Island Bird		
1600	Fur seal		
1601	Lion pirates		
1602	Lion pirates		
1603	Lion pirates		
1604	Red Blood Giant Anchor‧Roon		
1605	Green scales pirates		
1606	Cannon Tower		
1607	Catwoman Sniper		
1608	Catwoman Sniper		
1609	Cruise	Ocean Lord	
1610	Green scales pirates		
1611	Machine Gun (station monster)		
1612	Artillery (station monster)		
1613	Fortress Door		
1614	Navy Traitor		ท้องฟ้าสดใสอาทิตย์สาดแสงแดงทั่วแผ่นดิน~~ ข้าไม่ใช้NPC นำทางนะ~~
1630	Rock turtle		
1631	Sand dragon		
1632	Sharp snake poison ivy		
1633	Desert Eagle		
1634	Craig Firebird		
1635	Tornado Eagle		
1636	Say	Fighter	อยากจะแข็งแกร่งก็ต้องอย่าหยุดปฎิบัติ!
1637	Say	Fighter	ข้าต้องแข็งแกร่งยิ่งกว่านี้!
1660	Rock turtle		
